endpoint	stratum	holdout	selected_model	model_name	feature	weight	weight_type	state	direction	training_abs_correlation	direction_stability	state_prior_seed	state_candidate_score	generation	best_AUROC	best_AUPRC	best_ECE	backend	source_state	target_state	gene_a	gene_b	edge_class
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	myeloid_suppression	-0.08591412147306997	word_formula_theta_eta_offset																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	intercept	0.01648424114141243	word_formula_beta0																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	antigen_presentation_mhc	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	caf_ecm_exclusion	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	myeloid_suppression	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	tcell_dysfunction	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	tnk_effector	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	tumor_dedifferentiation	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	current_module_prior_anchor	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	current_module_positive_anchor	1.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	cancer_offset__Melanoma	0.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	therapy_offset__Pembrolizumab	0.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	therapy_offset__Nivolumab	0.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	therapy_offset__PEM	0.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	therapy_offset__Pem	0.0	word_bio_objective_feature_selected																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AC005351	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AC005754	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AC007790	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AC007899	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AC243756	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ACTA2	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ADGRG5	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ADI1,RNASEH1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AL049794	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AMH,MIR4321,SF3A2	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ANG,RNASE4	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ANKRD20A8P,FAM95A	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AP001610	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	APOC1,APOC1P1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	APOC2,APOC4,APOC4-APOC2	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ARPIN	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ASS1P1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	ATP5E,SLMO2,SLMO2-ATP5E	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	AXL	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	B2M	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	BHLHB9P1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	BIRC7,NKAIN4	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	BTF3L4P3	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	C11orf31,CTNND1,TMX2,TMX2-CTNND1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	C11orf52,HSPB2,HSPB2-C11orf52	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	C6orf147,KHDC1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	C8orf82,LRRC24	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CA11,DBP	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CARMIL2	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CASC14,CASC15	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CCBL2,RBMXL1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CCDC180,LOC100499484,LOC100499484-C9ORF174	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CCL5	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CD163	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CD302,LY75,LY75-CD302	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CD68	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CD8A	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CD8B	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CDK11A,CDK11B	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CDKN2A-AS1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CECR7,IL17RA	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CERS1,GDF1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CFAP54	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CICP5	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	COL1A1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	COL1A2	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	COL3A1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CROCC2	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CRYZP1	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CSF1R	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-2003C8	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-2026G22	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-2201I18.1,SERINC5	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-2349P21	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-2600H12	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTD-3234P18	-1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CTLA4	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CUZD1,FAM24B,FAM24B-CUZD1	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CXCL10	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CXCL11	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CXCL12	1.0	word_response_direction																
primary_recist	melanoma_recist_supported_primary	GSE91061	word_no_interaction	EcoNiche-Opt-HeuristicEcology	CXCL13	1.0	word_response_direction																
