endpoint	stratum	holdout	C	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score
primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	0.3	0.365018315018315	0.06831501831501835	0.3540018556331205	0.3873626373626374	0.3498964063874217	0.3154445695524804
primary_recist	melanoma_recist_supported_primary	GSE91061	0.01	0.639653840311735	0.09796531490128046	0.6833606884434561	0.5602953333216492	0.13743036098997521	0.6322394298008537
primary_recist	melanoma_recist_supported_primary	GSE91061	0.03	0.6082210917737233	0.09571983042997682	0.6311097688308781	0.5621136904031641	0.24077771578360488	0.5839056921528961
primary_recist	melanoma_recist_supported_primary	GSE91061	0.1	0.5449700153647523	0.10574939276687435	0.5660885838679076	0.5309704914968073	0.2429433235527093	0.5105067742166446
primary_recist	melanoma_recist_supported_primary	GSE91061	0.3	0.4910637608006028	0.08969042280258444	0.5323847971801712	0.4598314696998907	0.31777813116234316	0.4481626430689622
primary_recist	melanoma_recist_supported_primary	GSE91061	1.0	0.47319968043652255	0.09693498149965281	0.5330893894856986	0.4612456257193099	0.37598660117689825	0.41805095027041184
primary_recist	melanoma_recist_supported_primary	GSE91061	3.0	0.4586090079511132	0.10341716519209415	0.537378585091319	0.4754813899550741	0.45085318976622685	0.3899154456424518
primary_recist	melanoma_recist_supported_primary	GSE78220	0.01	0.611647343884186	0.08873499294680562	0.6042447929531501	0.5516644174538912	0.17096391193047664	0.5994307211415638
primary_recist	melanoma_recist_supported_primary	GSE78220	0.03	0.5826641925326136	0.08372017462101626	0.5852689354435364	0.5372203819572241	0.21854429649409132	0.5641469266180298
primary_recist	melanoma_recist_supported_primary	GSE78220	0.1	0.5525400768821821	0.0871393264799985	0.5669579828250381	0.5115895800106326	0.22161496793956803	0.5296555465930312
primary_recist	melanoma_recist_supported_primary	GSE78220	0.3	0.5236177565124933	0.10814377395809005	0.48551961835841145	0.5306828405512616	0.27774285101912427	0.4786945648260633
primary_recist	melanoma_recist_supported_primary	GSE78220	1.0	0.4875066454013823	0.12110423115605637	0.4708127971736005	0.43035108166687114	0.2973387963105765	0.42741190431879117
primary_recist	melanoma_recist_supported_primary	GSE78220	3.0	0.4627929088455404	0.13343178440361214	0.45328613300710924	0.39140698482803743	0.3550826178337528	0.3850492798604288
primary_recist	melanoma_recist_supported_primary	GSE145996	0.01	0.6798739272423483	0.10114901854875238	0.5983597419254235	0.6208428997902682	0.2157387215482335	0.6578987418215216
primary_recist	melanoma_recist_supported_primary	GSE145996	0.03	0.6542142068457858	0.08359760337968826	0.5491183641974308	0.5828189354505144	0.22090584484449302	0.635876393411665
primary_recist	melanoma_recist_supported_primary	GSE145996	0.1	0.6113383692331061	0.07692063249295057	0.50496663950204	0.5569529885319359	0.2315532493348977	0.591241046988095
primary_recist	melanoma_recist_supported_primary	GSE145996	0.3	0.5612738139053928	0.0842370366677669	0.4641381897653907	0.5214355819618978	0.21840331850500294	0.5356734863821233
primary_recist	melanoma_recist_supported_primary	GSE145996	1.0	0.527494143283617	0.10420441213541587	0.44711679163845414	0.5339485076327182	0.2762140237498681	0.48301309861698744
primary_recist	melanoma_recist_supported_primary	GSE145996	3.0	0.5102207733786681	0.12202797922689734	0.4326868062117825	0.48751424014581907	0.3239986338854472	0.44661704100028243
