endpoint	stratum	holdout	train_cohorts	candidate	candidate_family	selection_mode	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	performance_score	bio_prior_cosine	bio_sign_agreement	bio_compactness_bonus	bio_objective_bonus	selection_score	selected_candidate
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	response_equal_resistance_negative	ecology_symmetric	no_bio_objective	0.7115738063106484	0.11160011515261488	0.6403377541971655	0.6143011958801433	0.24423379258678055	0.7138875150600476	0.90748521297303	1.0	0.0	0.11259881703784241	0.7138875150600476	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	response_equal_no_resistance	response_only	no_bio_objective	0.6664581033002085	0.12172337304988604	0.6089766230113497	0.6355060144533828	0.24488941375638063	0.6615359677356125	0.7669649888473703	0.7142857142857143	1.0	0.1099286276792182	0.6615359677356125	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	ifn_only	single_axis	no_bio_objective	0.6479789216631322	0.14627822096514373	0.5785481940884906	0.5045764177343125	0.25752649133078437	0.6192944777765075	0.6859943405700353	0.14285714285714285	1.0	0.08059383295988853	0.6192944777765075	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	ifn_apm_cyto	response_axis	no_bio_objective	0.6701362964520859	0.12162127755475431	0.6103969235958733	0.6072894941315994	0.24581724473979225	0.6638572380299073	0.8463182721583792	0.5714285714285714	1.0	0.1105626046298132	0.6638572380299073	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	apm_cyto_resistance	response_resistance_axis	no_bio_objective	0.7062855273381589	0.12405905707747902	0.6025273403850668	0.6392458418774208	0.21635546957198448	0.7040177044959994	0.6765560069081112	0.5714285714285714	1.0	0.09698162340979176	0.7040177044959994	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	exhaustion_penalty	prior_perturbation	no_bio_objective	0.6987912672123198	0.13987284657982238	0.6285965419443355	0.6696882065303118	0.2585855767300104	0.6864110719338561	0.8740200053736313	0.8571428571428571	0.0	0.10420731471560479	0.6864110719338561	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_ifn_t_cell_inflamed	single_module_drop	no_bio_objective	0.7136991663307453	0.1145329103122681	0.6249299287277176	0.6757932126353179	0.21210952971358843	0.7208989352221107	0.727606875108999	0.8571428571428571	0.0	0.09249426429443422	0.7208989352221107	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_cytotoxic_cd8	single_module_drop	no_bio_objective	0.7098071519124151	0.11490596166862012	0.6182968030066355	0.5978594504910294	0.2368476424669684	0.7085496775332748	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.7085496775332748	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_exhaustion_checkpoint	single_module_drop	no_bio_objective	0.7026680921417764	0.12168498554108337	0.6183438178716163	0.6137517453306928	0.23308557549076267	0.6993847321013166	0.9851843661437777	0.8571428571428571	0.0	0.11310046357721651	0.6993847321013166	drop_ifn_t_cell_inflamed
primary_recist	melanoma_recist_supported_primary	GSE145996	GSE91061,GSE78220,PRJEB23709_PD1_PRE	drop_antigen_presentation	single_module_drop	no_bio_objective	0.6956014745488429	0.13237616670969482	0.6374326602341257	0.6266333082122556	0.24527325505218367	0.6876973343701934	0.9393364366277241	0.8571428571428571	0.0	0.10943262921593222	0.6876973343701934	drop_ifn_t_cell_inflamed
