AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	endpoint	stratum	cohort	model_name	variant	calibration	threshold	train_cohorts	n_samples	n_responders	n_nonresponders
0.8301435406698564	0.8072706158575724	0.7918660287081339	0.7804878048780488	0.6043233597185036	0.8	0.9473684210526315	0.6363636363636364	0.6923076923076923	0.9333333333333333	0.21521651990183044	0.22032030002823277	5.348833599510134	-0.09529045189117592	primary_recist	melanoma_core_high_evidence	PRJEB23709_PD1_PRE	ResponseModulesEqualWeight	response_modules_only_equal	training_only_platt	0.4561305451356208	GSE91061,GSE78220	41	19	22
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.31423500343198435	0.33997949256796905	0.24712001488480964	-1.4350441545460417	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-AlignedPanelNoCalibration	full	raw_sigmoid	0.4209547786696646	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6128205128205129	0.443052059052059	0.5064102564102564	0.5102040816326531	0.010336227882434037	0.29411764705882354	0.5	0.5128205128205128	0.20833333333333334	0.8	0.25845818411253474	0.31292363945133955	0.6308223107103593	-1.4528275377793949	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-AlignedPanelCalibrated	full	training_only_platt	0.47569628052075186	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6358974358974359	0.49278263387685994	0.5179487179487179	0.46938775510204084	0.029235267310234306	0.3157894736842105	0.6	0.4358974358974359	0.21428571428571427	0.8095238095238095	0.2546880890644758	0.3074873731995862	0.6888782640728605	-1.4382925880163293	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-NoResistanceModules	no_resistance_modules	training_only_platt	0.4342601899393255	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.46153846153846156	0.23036957901799912	0.5192307692307692	0.5306122448979592	0.03106049434950955	0.30303030303030304	0.5	0.5384615384615384	0.21739130434782608	0.8076923076923077	0.2615307624201402	0.29631773032210773	-0.2700491289618379	-1.363769218681628	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-NoResponseModules	no_response_modules	training_only_platt	0.5075673496256166	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6230769230769231	0.4729920055997642	0.532051282051282	0.5510204081632653	0.05194149944491429	0.3125	0.5	0.5641025641025641	0.22727272727272727	0.8148148148148148	0.25006713895997124	0.30862302407090947	0.8184383930410477	-1.4162533461090545	primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-UnsignedStateDirection	unsigned_state_direction	training_only_platt	0.5042455314976901	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6128205128205129	0.4057073783445735	0.5166666666666666	0.40816326530612246	0.028647985456347027	0.32558139534883723	0.7	0.3333333333333333	0.21212121212121213	0.8125	0.24876230091425683	0.29711675372300395	0.8626147498802189	-1.4363350437390454	primary_recist	melanoma_recist_supported_primary	GSE91061	IFNG_ModuleOnly	ifn_only	training_only_platt	0.4254228732287437	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6307692307692307	0.462840673538348	0.5423076923076923	0.4489795918367347	0.07073991553074502	0.34146341463414637	0.7	0.38461538461538464	0.22580645161290322	0.8333333333333334	0.25091046186654176	0.3047684463346564	0.7896384308637178	-1.4560983628730206	primary_recist	melanoma_recist_supported_primary	GSE91061	ResponseModulesEqualWeight	response_modules_only_equal	training_only_platt	0.43296027794934583	GSE78220,GSE145996,PRJEB23709_PD1_PRE	49	10	39
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2909107984360428	0.32640283009776705	0.13949154944492717	0.0771320292345374	primary_recist	melanoma_recist_supported_primary	GSE78220	EcoNiche-Opt-AlignedPanelNoCalibration	full	raw_sigmoid	0.40980104728815997	GSE91061,GSE145996,PRJEB23709_PD1_PRE	27	14	13
0.6483516483516484	0.6310725135349196	0.6263736263736264	0.6296296296296297	0.2570193398539127	0.6666666666666666	0.7142857142857143	0.5384615384615384	0.625	0.6363636363636364	0.2533101524233757	0.1610385941785887	0.3707724008273584	0.10292934655716177	primary_recist	melanoma_recist_supported_primary	GSE78220	EcoNiche-Opt-AlignedPanelCalibrated	full	training_only_platt	0.4484308486844715	GSE91061,GSE145996,PRJEB23709_PD1_PRE	27	14	13
