candidate	AUROC	AUPRC	balanced_accuracy	mean_fold_AUROC	min_fold_AUROC	n_samples	n_responders	n_nonresponders
0.80*base+0.20*(0.80*z__PLA2G2D+0.20*pct__PIK3CD)	0.7756128221244499	0.6678128794602032	0.7099308610936518	0.7479409479409478	0.6923076923076923	117	43	74
0.80*base+0.20*(0.35*rz__PLA2G2D+0.65*pct__PIK3CD)	0.7752985543683218	0.6758738031835749	0.7193588937774984	0.7498372972057181	0.7032967032967032	117	43	74
0.65*base+0.35*(0.20*rz__PLA2G2D+0.80*rz__PIK3CD)	0.7752985543683217	0.6783301562028887	0.6701759899434319	0.7210941105677948	0.6098901098901099	117	43	74
0.65*base+0.35*(0.20*rz__PLA2G2D+0.80*z__PIK3CD)	0.7752985543683217	0.6783301562028887	0.6701759899434319	0.7210941105677948	0.6098901098901099	117	43	74
0.65*base+0.35*(0.65*z__PLA2G2D+0.35*rz__PIK3CD)	0.7752985543683217	0.6684549174528454	0.6671904462602136	0.7290802764486974	0.6538461538461537	117	43	74
0.65*base+0.35*(0.65*z__PLA2G2D+0.35*z__PIK3CD)	0.7752985543683217	0.6684549174528454	0.6671904462602136	0.7290802764486974	0.6538461538461537	117	43	74
0.80*base+0.20*(0.35*z__PLA2G2D+0.65*pct__PIK3CD)	0.7746700188560653	0.6767936248151718	0.7302011313639221	0.7498372972057181	0.7032967032967032	117	43	74
0.80*base+0.20*(0.35*pct__PLA2G2D+0.65*pct__PIK3CD)	0.7743557510999372	0.6717347042893347	0.7418290383406663	0.7396229501492658	0.6923076923076923	117	43	74
0.65*base+0.35*(0.20*z__PLA2G2D+0.80*rz__PIK3CD)	0.7740414833438088	0.6992731307988913	0.6712759270898805	0.7218915587336641	0.6098901098901099	117	43	74
0.65*base+0.35*(0.20*z__PLA2G2D+0.80*z__PIK3CD)	0.7740414833438088	0.6992731307988913	0.6712759270898805	0.7218915587336641	0.6098901098901099	117	43	74
0.65*base+0.35*(0.80*pct__PLA2G2D+0.20*pct__PIK3CD)	0.7730986800754243	0.6617396904405868	0.587994971715902	0.7361124255861098	0.6703296703296703	117	43	74
0.50*base+0.50*(0.80*pct__PLA2G2D+0.20*rz__PIK3CD)	0.7727844123192961	0.6567608055130354	0.6352922690131992	0.7264893001735105	0.6373626373626373	117	43	74
0.50*base+0.50*(0.80*pct__PLA2G2D+0.20*z__PIK3CD)	0.7727844123192961	0.6567608055130354	0.6352922690131992	0.7264893001735105	0.6373626373626373	117	43	74
0.50*base+0.50*(0.50*rz__PLA2G2D+0.50*rz__PIK3CD)	0.7724701445631678	0.6679964739184205	0.6623192960402262	0.7131576026312869	0.5989010989010989	117	43	74
0.50*base+0.50*(0.50*rz__PLA2G2D+0.50*z__PIK3CD)	0.7724701445631678	0.6679964739184205	0.6623192960402262	0.7131576026312869	0.5989010989010989	117	43	74
0.65*base+0.35*(0.80*rz__PLA2G2D+0.20*rz__PIK3CD)	0.7721558768070397	0.6612885593271762	0.6401634192331866	0.7259477364740522	0.6538461538461539	117	43	74
0.65*base+0.35*(0.80*rz__PLA2G2D+0.20*z__PIK3CD)	0.7721558768070397	0.6612885593271762	0.6401634192331866	0.7259477364740522	0.6538461538461539	117	43	74
0.65*base+0.35*(0.50*pct__PLA2G2D+0.50*pct__PIK3CD)	0.7718416090509115	0.6731403402667442	0.6844751728472659	0.7289885553043448	0.6318681318681318	117	43	74
