endpoint	stratum	candidate	weight_base	component_method	component_gene	selection_boundary	n_samples	n_responders	n_nonresponders	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*rz__PSME1	0.65	rz	PSME1	selected_by_primary_lodo_only	117	43	74	0.7664990571967316	0.6673272908379568	0.7339723444374607	0.7435897435897436	0.4311748090342812	0.6153846153846154	0.5581395348837209	0.8513513513513513	0.6857142857142857	0.7682926829268293	0.19247338674264866	0.11784700221258619	0.8517783882841702	-0.33390674512464463
primary_recist	melanoma_core_high_evidence	0.35*base+0.65*z__DTHD1	0.35	z	DTHD1	selected_by_primary_lodo_only	117	43	74	0.7664990571967316	0.6194396304249419	0.6926461345065996	0.6923076923076923	0.28922293779198993	0.41935483870967744	0.3023255813953488	0.918918918918919	0.6842105263157895	0.6938775510204082	0.2033907446085282	0.1196818497886034	0.324754586140155	-0.22544259028276337
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__PPP1R16B	0.65	pct	PPP1R16B	selected_by_primary_lodo_only	117	43	74	0.7664990571967315	0.6413626374466501	0.6161219358893777	0.7264957264957265	0.3859101053382684	0.5675675675675675	0.4883720930232558	0.8648648648648649	0.6774193548387096	0.7441860465116279	0.1866279203424418	0.061745500979276995	0.39230366342485457	-0.37323241444700744
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*z__CD83	0.65	z	CD83	selected_by_primary_lodo_only	117	43	74	0.7661847894406034	0.6911817382709896	0.6701759899434319	0.7264957264957265	0.3859101053382684	0.5675675675675675	0.4883720930232558	0.8648648648648649	0.6774193548387096	0.7441860465116279	0.18320237707167258	0.09609881103588233	0.7099221645023688	-0.23553493566229824
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*rz__CCR9	0.8	rz	CCR9	selected_by_primary_lodo_only	117	43	74	0.7661847894406034	0.6639207211869121	0.595065996228787	0.6752136752136753	0.2707131473891305	0.5	0.4418604651162791	0.8108108108108109	0.5757575757575758	0.7142857142857143	0.18830489659236455	0.10576424614764217	0.6473495602922748	-0.21836686201095626
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*z__FAM209B	0.8	z	FAM209B	selected_by_primary_lodo_only	117	43	74	0.7661847894406033	0.6933500255601778	0.6536769327467002	0.7264957264957265	0.3888976184508032	0.5789473684210527	0.5116279069767442	0.8513513513513513	0.6666666666666666	0.75	0.18479244827510757	0.07208028960946022	0.8171652061752888	-0.1817676793263512
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__CLEC17A	0.5	z	CLEC17A	selected_by_primary_lodo_only	117	43	74	0.7661847894406033	0.6568540300658424	0.7320867379006913	0.6752136752136753	0.2403707553167309	0.2962962962962963	0.18604651162790697	0.9594594594594594	0.7272727272727273	0.6698113207547169	0.21199922364511825	0.1504579840098125	0.7292341639081652	0.3835222969562404
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*z__IL2	0.8	z	IL2	selected_by_primary_lodo_only	117	43	74	0.7661847894406033	0.6511637124656731	0.6671904462602136	0.7094017094017094	0.34249906874778807	0.5277777777777778	0.4418604651162791	0.8648648648648649	0.6551724137931034	0.7272727272727273	0.18453480861768612	0.04641373455684873	0.3938903153494151	-0.32175598738331856
primary_recist	melanoma_core_high_evidence	0.65*base+0.35*pct__SLAMF7	0.65	pct	SLAMF7	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.6939445401687198	0.6360779384035198	0.6666666666666666	0.2937594193904019	0.5617977528089888	0.5813953488372093	0.7162162162162162	0.5434782608695652	0.7464788732394366	0.18760291865950357	0.10622433404389905	0.9242044994598168	-0.38381038621811947
primary_recist	melanoma_core_high_evidence	0.80*base+0.20*pct__ZFP42	0.8	pct	ZFP42	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.6804141816890675	0.6123507228158391	0.6837606837606838	0.3164917232167143	0.5647058823529412	0.5581395348837209	0.7567567567567568	0.5714285714285714	0.7466666666666667	0.19065818534716222	0.1003232128589829	0.9287252306451089	-0.36243455879557923
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*z__CXCL13	0.5	z	CXCL13	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.674858140573929	0.6247642991829039	0.7094017094017094	0.3363909034189628	0.46875	0.3488372093023256	0.918918918918919	0.7142857142857143	0.7083333333333334	0.18854833149858946	0.06626739632490566	0.6926543605627112	-0.08931418928199039
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__CXCL13	0.5	rz	CXCL13	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.674858140573929	0.6247642991829039	0.7094017094017094	0.3363909034189628	0.46875	0.3488372093023256	0.918918918918919	0.7142857142857143	0.7083333333333334	0.18854833116547398	0.06626739508743593	0.6926542952046076	-0.08931424625222865
primary_recist	melanoma_core_high_evidence	0.50*base+0.50*rz__TVP23A	0.5	rz	TVP23A	selected_by_primary_lodo_only	117	43	74	0.7658705216844752	0.6612518022142891	0.6731615336266499	0.7094017094017094	0.3378564310463013	0.5	0.3953488372093023	0.8918918918918919	0.68	0.717391304347826	0.18635495802933283	0.08809501431124596	0.9621406923976964	0.10522227977347903
