context_id	context_type	source_context	endpoint	model_name	bin	prob_low	prob_high	n	prob_mean	event_rate
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	5.0	0.6426121438886729	1.0
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|clinical_benefit|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	1.0	0.2741423903714599	1.0
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	13.0	0.3647684925024693	0.46153846153846156
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	16.0	0.4514833764826798	0.5
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	20.0	0.5348617936824374	0.55
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	13.0	0.6459935159058937	0.6153846153846154
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	2.0	0.7059661317079248	1.0
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|clinical_benefit|nanostring_melanoma_clinical_assay_transfer	standard_context	locked_external	clinical_benefit	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	8.0	0.2531186166084862	0.375
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	4.0	0.3610339205527182	0.5
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	4.0	0.4377777933096236	0.75
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	6.0	0.5647200548199556	0.6666666666666666
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	5.0	0.6518020038301359	0.8
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	5.0	0.7412954143045156	1.0
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|primary_recist|locked_external_melanoma_combination_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	17.0	0.2623968480978845	0.47058823529411764
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	29.0	0.3581587623129129	0.3103448275862069
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	25.0	0.4413984615218565	0.48
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	20.0	0.5585775465325064	0.4
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	14.0	0.6420369537891525	0.2857142857142857
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	12.0	0.7377802973569395	0.5
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	3.0	0.8439308129364808	0.6666666666666666
locked_external|primary_recist|locked_external_melanoma_pd1_like	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	1.0	0.9211700747266692	1.0
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	2.0	0.2	0.30000000000000004	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	3.0	0.30000000000000004	0.4	7.0	0.3491740961917525	0.7142857142857143
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	4.0	0.4	0.5	3.0	0.47166314360425665	0.0
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	5.0	0.5	0.6000000000000001	1.0	0.5143335196821397	1.0
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	6.0	0.6000000000000001	0.7000000000000001	1.0	0.6143607219549958	0.0
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	7.0	0.7000000000000001	0.8	1.0	0.7429052463218698	1.0
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	8.0	0.8	0.9	0.0		
locked_external|primary_recist|locked_external_melanoma_pd1_recist	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	9.0	0.9	1.0	1.0	0.9050903531706824	1.0
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	0.0	0.0	0.1	0.0		
locked_external|primary_recist|nanostring_hcc_clinical_assay_transfer	standard_context	locked_external	primary_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	1.0	0.1	0.2	0.0		
