perturbation_id	perturbation_name	target_gene	mechanism	reversal_score	depmap_score	dgidb_evidence	target_state	priority_score	status	interpretation
LJP007	WZ-7043	GNLY;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1775.908514460057			EcoNiche module-derived resistance signature	1775.908514460057	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	AS-605240	GNLY;PSMB9;S100A8;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1731.134539862112			EcoNiche module-derived resistance signature	1731.134539862112	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	KIN001-266	GNLY;GZMB;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1715.9136392053172			EcoNiche module-derived resistance signature	1715.9136392053172	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	tivantinib	GNLY;GZMB	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1707.1440599203274			EcoNiche module-derived resistance signature	1707.1440599203274	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	I-BET151	CD163;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1637.544059049697			EcoNiche module-derived resistance signature	1637.544059049697	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	PF 573228	GNLY;GZMB;HLA-A;HLA-B	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1473.0944275217973			EcoNiche module-derived resistance signature	1473.0944275217973	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	SB-525334	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1334.1875126889731			EcoNiche module-derived resistance signature	1334.1875126889731	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	XMD16-144	GNLY;GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1282.315870553066			EcoNiche module-derived resistance signature	1282.315870553066	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	AZ20	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1268.042169137566			EcoNiche module-derived resistance signature	1268.042169137566	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	ZSTK-474	GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1253.4365072333699			EcoNiche module-derived resistance signature	1253.4365072333699	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	TWS-119	GNLY;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1181.0116964439367			EcoNiche module-derived resistance signature	1181.0116964439367	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	afatinib	NKG7;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1147.5328828164716			EcoNiche module-derived resistance signature	1147.5328828164716	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005;LJP006	geldanamycin	HLA-B;IFNG;PSMB9;S100A8;S100A9;TGFB1;ZEB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1130.8671297344092			EcoNiche module-derived resistance signature	1130.8671297344092	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	BMS-345541	AXL;CD3D;HLA-B;PSMB9;S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	1092.3087904493457			EcoNiche module-derived resistance signature	1092.3087904493457	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	regorafenib	GZMB;HLA-B;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	1060.2324757072302			EcoNiche module-derived resistance signature	1060.2324757072302	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
CPC013	BRD-K18163752	CD163;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1056.5728485287273			EcoNiche module-derived resistance signature	1056.5728485287273	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	XMD11-85H	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1056.5728485287273			EcoNiche module-derived resistance signature	1056.5728485287273	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	MK-1775	GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1056.5728485287273			EcoNiche module-derived resistance signature	1056.5728485287273	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	ALW-II-38-3	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1029.0547394171365			EcoNiche module-derived resistance signature	1029.0547394171365	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	NVP-TAE226	GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1002.7887384978784			EcoNiche module-derived resistance signature	1002.7887384978784	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	CX-5461	GNLY;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	1002.7887384978784			EcoNiche module-derived resistance signature	1002.7887384978784	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	SB590885	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	977.682966243923			EcoNiche module-derived resistance signature	977.682966243923	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	PF-431396	AXL;HLA-B;NKG7;PSMB9;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	944.540944143555			EcoNiche module-derived resistance signature	944.540944143555	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	trametinib	PSMB9;S100A8;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	942.7574683183478			EcoNiche module-derived resistance signature	942.7574683183478	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	pazopanib	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	930.6854451805835			EcoNiche module-derived resistance signature	930.6854451805835	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	SYK-inhibitor	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	930.6854451805835			EcoNiche module-derived resistance signature	930.6854451805835	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	LDN-193189	CD3D;HLA-B;PSMB9;ZEB1	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	914.7538278781002			EcoNiche module-derived resistance signature	914.7538278781002	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	enzastaurin	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	887.5482208279581			EcoNiche module-derived resistance signature	887.5482208279581	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP009	GSK-2334470	NKG7;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	847.8218659162171			EcoNiche module-derived resistance signature	847.8218659162171	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP008	(-)-JQ1	GZMB;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	829.1295407023977			EcoNiche module-derived resistance signature	829.1295407023977	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	BMS-777607	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	829.1295407023977			EcoNiche module-derived resistance signature	829.1295407023977	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006;LJP009	BI-2536	HLA-B;PSMB9	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	777.6838487944024			EcoNiche module-derived resistance signature	777.6838487944024	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	JW-7-24-1	HLA-B;PSMB9;S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	766.3598195229283			EcoNiche module-derived resistance signature	766.3598195229283	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	OTSSP167	CD3E;HLA-A;HLA-B;PSMB9	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	740.3431510192247			EcoNiche module-derived resistance signature	740.3431510192247	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
CPC006	vorinostat	GZMB;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	703.6051178996023			EcoNiche module-derived resistance signature	703.6051178996023	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
CPC014	BRD-K83972459	CD163;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	675.8946680832967			EcoNiche module-derived resistance signature	675.8946680832967	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
CPC006	mln2238	GZMB;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	675.8946680832967			EcoNiche module-derived resistance signature	675.8946680832967	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	motesanib	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	663.3215252321327			EcoNiche module-derived resistance signature	663.3215252321327	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	DCC-2036	S100A9;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	663.3215252321327			EcoNiche module-derived resistance signature	663.3215252321327	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	AS-601245	CD3D;GZMB;PRF1;S100A8	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	657.3268168597881			EcoNiche module-derived resistance signature	657.3268168597881	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	fostamatinib	NKG7;PRF1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	639.36534926789			EcoNiche module-derived resistance signature	639.36534926789	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	GSK-1904529A	PRF1;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	627.9545623331182			EcoNiche module-derived resistance signature	627.9545623331182	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	A66	CD163;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	627.9545623331182			EcoNiche module-derived resistance signature	627.9545623331182	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP007	AT7867	GZMB;S100A9	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	606.1729409700409			EcoNiche module-derived resistance signature	606.1729409700409	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP006	QL-XII-47	GZMB;S100A8;S100A9;ZEB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes;upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_down;LINCS_L1000_Chem_Pert_up)	597.6066270799162			EcoNiche module-derived resistance signature	597.6066270799162	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	dovitinib	CD3D;S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	593.7115498483283			EcoNiche module-derived resistance signature	593.7115498483283	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
LJP005	WH-4-025	HLA-B;S100A8	LINCS Enrichr signature reversal (upregulate_resistance_down_genes; LINCS_L1000_Chem_Pert_up)	575.708138298268			EcoNiche module-derived resistance signature	575.708138298268	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
CPC002	beclomethasone dipropionate	CD163;TGFB1	LINCS Enrichr signature reversal (downregulate_resistance_up_genes; LINCS_L1000_Chem_Pert_down)	566.3522452274439			EcoNiche module-derived resistance signature	566.3522452274439	hypothesis_only	candidate perturbation hypothesis only; requires experimental validation
