target_gene	drug_name	drug_concept_id	interaction_types	sources	pmids	status
ITGB7	NATALIZUMAB	rxcui:354770	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
TIGIT	ETIGILIMAB	ncit:C142821	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
IFNG	AMIKACIN	rxcui:641		NCI	8913387	DGIdb_evidence
AXL	VANDETANIB	rxcui:1098413		DTC		DGIdb_evidence
TGFB1	KEYHOLE LIMPET HEMOCYANIN	ncit:C1139		NCI	17093201	DGIdb_evidence
CD3E	TECLISTAMAB	rxcui:2619426	binder:None	ChEMBL		DGIdb_evidence
IL10	ETANERCEPT	rxcui:214555		PharmGKB	12759288	DGIdb_evidence
HLA-A	THERAPEUTIC GLUCOCORTICOID	ncit:C521		NCI	6972103	DGIdb_evidence
IFNG	THEOPHYLLINE	rxcui:10438		NCI	11918854	DGIdb_evidence
AXL	TAMNORZATINIB	ncit:C136822		TTD		DGIdb_evidence
CD3D	FBT-A05	chembl:CHEMBL2109351	modulator:None	ChEMBL		DGIdb_evidence
IFNG	PEFLOXACIN	rxcui:7960		NCI	8673851	DGIdb_evidence
TGFB1	PIRFENIDONE	rxcui:1592254		NCI;TTD	12907346	DGIdb_evidence
PDCD1	APL-501	chembl:CHEMBL4594355	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
PDCD1	VUDALIMAB	chembl:CHEMBL4594617		TTD		DGIdb_evidence
TGFB1	H2O2	iuphar.ligand:2448		NCI	9722602	DGIdb_evidence
TGFB1	THERAPEUTIC ANDROGEN	ncit:C243		NCI	18635743	DGIdb_evidence
TGFB1	SANDOSTATIN	chembl:CHEMBL408687		NCI	12142738	DGIdb_evidence
CD3E	ENAVOGLIFLOZIN	ncit:C171901	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
AXL	BPI-9016	chembl:CHEMBL3545236	inhibitor:INHIBITORY	ChEMBL		DGIdb_evidence
HLA-B	AMOXICILLIN ANHYDROUS	rxcui:1297882		PharmGKB	23874514;30661239;30664875	DGIdb_evidence
TGFB1	BROXURIDINE	ncit:C318		NCI	10495776	DGIdb_evidence
HLA-A	PEGINTERFERON ALFA-2B	rxcui:253453		PharmGKB	23360626	DGIdb_evidence
TGFB1	DISITERTIDE	ncit:C166687		TTD	24393789	DGIdb_evidence
HLA-B	PHENYTOIN SODIUM	rxcui:71227		FDA		DGIdb_evidence
IFNG	THROMBIN	rxcui:10528		NCI	9731747	DGIdb_evidence
AXL	BATIRAXCEPT	ncit:C156017		TTD		DGIdb_evidence
TGFB1	ETOPOSIDE	rxcui:4179		NCI	16002781	DGIdb_evidence
CD3D	GLOFITAMAB	rxcui:2639782	binder:None	ChEMBL		DGIdb_evidence
TGFB1	GALLIUM NITRATE	rxcui:25544		NCI	8381250	DGIdb_evidence
HLA-A	RIBAVIRIN	rxcui:9344		PharmGKB	23360626	DGIdb_evidence
HLA-B	TICLOPIDINE	rxcui:10594		PharmGKB	17339877	DGIdb_evidence
AXL	DOVITINIB	ncit:C76199		DTC		DGIdb_evidence
TGFB1	TOREMIFENE	rxcui:38409		NCI	12476040	DGIdb_evidence
CD3E	BLINATUMOMAB	rxcui:1597258	modulator:None	ChEMBL;TdgClinicalTrial		DGIdb_evidence
AXL	COMPOUND 1 [CRUZ-L&OACUTE;PEZ ET AL., 2019]	iuphar.ligand:10574	inhibitor:INHIBITORY	GuideToPharmacology		DGIdb_evidence
