endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	selection_score
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C0.25	0.6761918382913806	0.6992825647403335	0.5422292143401982	0.7382674272454072
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l1_C1	0.6750286041189931	0.7312836222991702	0.5807160564454614	0.7406285880562247
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.05	0.6831426392067125	0.7292637176122607	0.5450228832951945	0.7468569692520852
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C0.25	0.6536708619374524	0.7104096159306253	0.5893688024408849	0.7186597828560278
strict_recist	melanoma_recist_supported_primary	GSE78220	module_logistic_l2_C1	0.6665236460717009	0.7191848343342567	0.5971729595728451	0.732341535767056
strict_recist	melanoma_recist_supported_primary	GSE145996	module_prior_composite	0.7098243099387265	0.6816287085751004	0.6515686687454422	0.7764841788047535
strict_recist	melanoma_recist_supported_primary	GSE145996	module_positive_composite	0.6603891627060963	0.6678288336588659	0.5609111616834729	0.7218261624732132
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.05	0.5	0.4548019881353215	0.5	0.5477400994067662
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C0.25	0.6044190744419576	0.5859417868912983	0.5899156335655192	0.6632119454647984
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C1	0.621540578033713	0.5832271218335804	0.596066462141977	0.6805052572324909
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.05	0.6630908374615468	0.6284581648580777	0.6381717252998718	0.7264223319694443
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.25	0.6394318781904594	0.6087693535005129	0.6319605451756481	0.7014683731242675
strict_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C1	0.6174572090762022	0.5921684483369914	0.6145733271305354	0.6777942978495786
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	0.6251751871317089	0.6613361387445845	0.587852365026278	0.687634612320252
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_positive_composite	0.5816610925306577	0.6521742547807711	0.5581422200987419	0.6421769162746334
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.05	0.5	0.47897781231114567	0.5	0.5489488906155573
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.25	0.501250199076286	0.559620413365876	0.4742136486701704	0.5529419021780883
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C1	0.5294274566013696	0.5674087458345264	0.4756549609810479	0.5815806419421483
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.05	0.5420488931358497	0.5911543560252609	0.4976349737219303	0.5964883596232092
strict_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.25	0.5318243350852047	0.570893450919467	0.46825927695492914	0.5837819714789245
