endpoint	stratum	model_name	threshold	net_benefit	treat_all_net_benefit	treat_none_net_benefit	net_benefit_vs_treat_all	net_benefit_vs_treat_none	n_samples	prevalence
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.1	0.4791666666666667	0.4791666666666667	0.0	0.0	0.4791666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.15	0.45183823529411765	0.44852941176470584	0.0	0.0033088235294118085	0.45183823529411765	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.2	0.4125	0.4140625	0.0	-0.0015625000000000222	0.4125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.25	0.34791666666666665	0.375	0.0	-0.027083333333333348	0.34791666666666665	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.3	0.28660714285714284	0.33035714285714285	0.0	-0.04375000000000001	0.28660714285714284	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.35	0.22692307692307692	0.27884615384615385	0.0	-0.05192307692307693	0.22692307692307692	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.4	0.1708333333333333	0.21874999999999994	0.0	-0.047916666666666635	0.1708333333333333	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.45	0.13125	0.14772727272727276	0.0	-0.016477272727272757	0.13125	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.5	0.08125000000000002	0.0625	0.0	0.018750000000000017	0.08125000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.55	0.023611111111111055	-0.04166666666666685	0.0	0.0652777777777779	0.023611111111111055	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.6	-0.003124999999999961	-0.1718749999999999	0.0	0.16874999999999993	-0.003124999999999961	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.65	-0.021428571428571463	-0.3392857142857144	0.0	0.31785714285714295	-0.021428571428571463	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.7	-0.035416666666666624	-0.5624999999999998	0.0	0.5270833333333331	-0.035416666666666624	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.75	-0.075	-0.875	0.0	0.8	-0.075	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.8	-0.08750000000000002	-1.3437500000000004	0.0	1.2562500000000005	-0.08750000000000002	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.85	-0.07499999999999998	-2.1249999999999996	0.0	2.0499999999999994	-0.07499999999999998	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.9	-0.04375000000000001	-3.687500000000001	0.0	3.6437500000000007	-0.04375000000000001	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-AdaptiveConsensus	0.95	0.0	-8.374999999999991	0.0	8.374999999999991	0.0	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.05	0.506578947368421	0.506578947368421	0.0	0.0	0.506578947368421	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.1	0.4791666666666667	0.4791666666666667	0.0	0.0	0.4791666666666667	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.15	0.45073529411764707	0.44852941176470584	0.0	0.002205882352941224	0.45073529411764707	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.2	0.40937500000000004	0.4140625	0.0	-0.004687499999999956	0.40937500000000004	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.25	0.36875	0.375	0.0	-0.006249999999999978	0.36875	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.3	0.33392857142857146	0.33035714285714285	0.0	0.0035714285714286143	0.33392857142857146	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.35	0.23509615384615387	0.27884615384615385	0.0	-0.04374999999999998	0.23509615384615387	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.4	0.17499999999999996	0.21874999999999994	0.0	-0.04374999999999998	0.17499999999999996	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.45	0.1346590909090909	0.14772727272727276	0.0	-0.013068181818181868	0.1346590909090909	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.5	0.056249999999999994	0.0625	0.0	-0.0062500000000000056	0.056249999999999994	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.55	0.003472222222222182	-0.04166666666666685	0.0	0.045138888888889034	0.003472222222222182	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.6	-0.02499999999999994	-0.1718749999999999	0.0	0.14687499999999995	-0.02499999999999994	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.65	-0.04553571428571432	-0.3392857142857144	0.0	0.29375000000000007	-0.04553571428571432	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.7	-0.07291666666666663	-0.5624999999999998	0.0	0.48958333333333315	-0.07291666666666663	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.75	-0.05624999999999998	-0.875	0.0	0.81875	-0.05624999999999998	160	0.53125
clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-ImmuneComposite	0.8	-0.08125000000000003	-1.3437500000000004	0.0	1.2625000000000004	-0.08125000000000003	160	0.53125
