holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_balanced_accuracy	threshold	selection_score
GSE176307	signed_PDCD1	0.547140822140822	0.4582856124626543	0.5782967032967032	0.34407445413048465	0.5989699379287899
GSE176307	signed_TLS	0.5636116198616199	0.5108306283087185	0.5690247252747253	0.4162525142596426	0.617604387540792
GSE176307	signed_MCP_fibroblast	0.4927401302401302	0.41975260039286616	0.5172847985347986	0.3430436856547562	0.5395920001865134
GSE176307	signed_MPS	0.5123651811151811	0.42632938852111246	0.5742902930402931	0.3004429839579174	0.5623961651932514
GSE176307	signed_IPRES	0.3866936304436305	0.3935143586706004	0.5278159340659341	0.741870767770051	0.4327601450804572
GSE176307	signed_C_ECM	0.39217287342287344	0.3811897312819717	0.4973672161172161	0.22231279565376463	0.43610072079283285
GSE176307	signed_TIDE_exclusion	0.39782000407000406	0.37904781337663335	0.5225503663003663	0.1785243081661057	0.44289991305385407
GSE176307	signed_ESCS	0.3673178673178673	0.3435588722849733	0.5358287545787546	0.28438846736552315	0.4112872486610537
GSE78220	immune_top5	0.6682374338624338	0.4795765244096361	0.6266666666666667	0.3731616024066502	0.7235495934162489
GSE78220	tcell_checkpoint	0.6519758597883598	0.47513185334179875	0.62	0.5007573207821758	0.7067324524554498
GSE78220	immune_mean	0.6231894841269842	0.4576618101035699	0.62	0.5131506100038074	0.6770725746321626
GSE78220	top5_minus_stroma_myeloid	0.5298776455026455	0.38065565265485596	0.5800000000000001	0.31001292553176685	0.5779104281353883
GSE78220	immune_minus_suppressive	0.502703373015873	0.36986140405063017	0.5666666666666667	0.32011672866681407	0.5495297765517378
GSE78220	suppression_inverse	0.34044312169312174	0.27782112435684025	0.54	0.26474655984321377	0.3813341779109638
GSE78220	signed_TIG	0.6353091931216932	0.4341838514000315	0.6333333333333333	0.4445791085858333	0.6886850523583614
GSE78220	signed_TIDE_dysfunction	0.6297164351851852	0.4623699206174847	0.6533333333333333	0.5093735110370523	0.685501597882726
GSE78220	signed_IFNG	0.647420634920635	0.45945434881115066	0.6266666666666667	0.5962032951656563	0.7017266856945258
GSE78220	signed_PDCD1LG2	0.6589368386243386	0.5101625526371399	0.6066666666666667	0.5418385319014631	0.7147782995895289
GSE78220	signed_CXCL9	0.5903397817460317	0.4080445433510305	0.6266666666666667	0.4087642367843666	0.6420753422469166
GSE78220	signed_MCP_CD8_T	0.567042824074074	0.4091766735299217	0.6000000000000001	0.5821376697685325	0.6175016577505701
GSE78220	signed_APM	0.5925181878306878	0.4304696499946332	0.5866666666666667	0.5386377619055034	0.6433750036637528
GSE78220	signed_PDL1_CD274	0.6011739417989419	0.43304328992657687	0.6066666666666667	0.47662199894520213	0.6531594396286041
GSE78220	signed_IMPRES_template	0.6255373677248677	0.46095865542848846	0.6266666666666667	0.5158893447229018	0.6799186338296255
GSE78220	signed_HLA_DRA	0.6241815476190476	0.4723387889613734	0.6	0.6219900718870319	0.6777984870671163
GSE78220	signed_CTLA4	0.5684275793650794	0.4194548449247143	0.6333333333333333	0.5009397636568031	0.6210669882779817
