mean_delta	ci_low	ci_high	p_value	endpoint	stratum	target_model	comparison	baseline_model	n_samples	target_AUROC	baseline_AUROC	target_AUPRC	baseline_AUPRC	target_ECE	baseline_ECE	is_strong_baseline	status	fdr_q
0.2263693845302003	0.10962744779833382	0.3414820806371328	0.0	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology_vs_EcoNiche-Opt-WordNoBioObjective	EcoNiche-Opt-WordNoBioObjective	131	0.6845588235294118	0.45882352941176463	0.5804730202048082	0.3778708445542601	0.23858416431842683	0.2978487153670546	True	computed_from_matched_predictions	0.0
-0.1970096889698009	-0.3202554466230938	-0.07315729483282662	0.006	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-HeuristicEcology	EcoNiche-Opt-HeuristicEcology	131	0.4877450980392157	0.6845588235294118	0.4308331867324865	0.5804730202048082	0.31013502957425587	0.23858416431842683	False	computed_from_matched_predictions	0.054
-0.1970096889698009	-0.3202554466230938	-0.07315729483282662	0.006	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModulePriorFixed	EcoNiche-Opt-ModulePriorFixed	131	0.4877450980392157	0.6845588235294118	0.4308331867324865	0.5804730202048082	0.31013502957425587	0.23858416431842683	True	computed_from_matched_predictions	0.054
-0.16920205211536118	-0.30489063256620025	-0.03334334891721429	0.018	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModuleIFNConsensus	EcoNiche-Opt-ModuleIFNConsensus	131	0.4877450980392157	0.6568627450980392	0.4308331867324865	0.5443547966142261	0.31013502957425587	0.13728703635307532	False	computed_from_matched_predictions	0.0648
-0.16665634393610462	-0.30635217519911956	-0.033219641993227106	0.02	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-AdaptiveConsensus	EcoNiche-Opt-AdaptiveConsensus	131	0.4877450980392157	0.6544117647058824	0.4308331867324865	0.5459537905768007	0.31013502957425587	0.123103902051317	False	computed_from_matched_predictions	0.0648
-0.1621152753837232	-0.297734632162068	-0.02143314976979354	0.024	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_CXCL9	CXCL9	131	0.4877450980392157	0.649264705882353	0.4308331867324865	0.5371225556519088	0.31013502957425587	0.1345603036842726	True	computed_from_matched_predictions	0.0648
-0.15799247938755828	-0.28659263231888477	-0.015427514456550218	0.03	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_TIDE_dysfunction	TIDE_dysfunction	131	0.4877450980392157	0.6455882352941177	0.4308331867324865	0.5478125399264986	0.31013502957425587	0.11415110795487338	True	computed_from_matched_predictions	0.0648
-0.15689252944326365	-0.2936294398994148	-0.014402793321000161	0.034	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_TIG	TIG	131	0.4877450980392157	0.6443627450980393	0.4308331867324865	0.5402750166694281	0.31013502957425587	0.11949029910582962	True	computed_from_matched_predictions	0.0648
-0.15417699570113974	-0.2979978354978355	-0.014315832265109484	0.028	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_APM	APM	131	0.4877450980392157	0.6419117647058823	0.4308331867324865	0.5025690476013558	0.31013502957425587	0.13856848077764605	True	computed_from_matched_predictions	0.0648
-0.15215561791807994	-0.2870057016946072	-0.009171594294484128	0.036	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_IFNG	IFNG	131	0.4877450980392157	0.6397058823529411	0.4308331867324865	0.5313226284532585	0.31013502957425587	0.13524042281735324	True	computed_from_matched_predictions	0.0648
-0.14188392451860504	-0.27325789772544334	-0.015894312015682543	0.03	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModulePriorFixed-Platt	EcoNiche-Opt-ModulePriorFixed-Platt	131	0.4877450980392157	0.6303921568627452	0.4308331867324865	0.5174460482582935	0.31013502957425587	0.12076221874679825	False	computed_from_matched_predictions	0.0648
-0.13746905616502741	-0.27456909657059586	0.003170934091986646	0.054	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_CYT	CYT	131	0.4877450980392157	0.6242647058823529	0.4308331867324865	0.5116737068683719	0.31013502957425587	0.12143659252064323	True	computed_from_matched_predictions	0.08836363636363637
-0.13342204977469388	-0.2697099662007856	0.011617103697540581	0.07	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ImmuneComposite	EcoNiche-Opt-ImmuneComposite	131	0.4877450980392157	0.6198529411764706	0.4308331867324865	0.5032624617711886	0.31013502957425587	0.13328941742116335	True	computed_from_matched_predictions	0.10500000000000002
-0.10386722734351476	-0.24469678166625294	0.05440149673717872	0.15	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_PDCD1LG2	PDCD1LG2	131	0.4877450980392157	0.5889705882352941	0.4308331867324865	0.4748746815396976	0.31013502957425587	0.14133191364890493	True	computed_from_matched_predictions	0.19285714285714284
-0.09705946375873677	-0.21290801327643435	0.010895795329757658	0.082	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordNoInteraction	EcoNiche-Opt-WordNoInteraction	131	0.4877450980392157	0.5838235294117647	0.4308331867324865	0.47367639702937386	0.31013502957425587	0.20346816872456924	True	computed_from_matched_predictions	0.11353846153846153
-0.08905944916343594	-0.21705797469081448	0.04698364948086649	0.196	primary_recist	melanoma_recist_supported_primary	EcoNiche-Opt-WordFullGraph	EcoNiche-Opt-WordFullGraph_vs_IPRES	IPRES	131	0.4877450980392157	0.5732843137254903	0.4308331867324865	0.47080769428251634	0.31013502957425587	0.17402200379843538	True	computed_from_matched_predictions	0.2352
