endpoint	stratum	holdout	model_name	selected_model	state	gene	direction	selection_frequency	training_abs_correlation	direction_stability	state_prior_seed	state_candidate_score
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	CD8B	1.0	0.25333333333333335	0.18090133711821557	0.6666666666666666	1.0	1.5615787253927447
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	CXCL11	1.0	0.38666666666666666	0.1169821311757992	0.6666666666666666	1.0	1.4927090076734608
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	CXCL9	1.0	0.36	0.23138148971873468	1.0	1.0	1.6993018748817432
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	HPN,SCN1B	-1.0	0.41333333333333333	0.6203434860963829	1.0	0.0	0.918388790920568
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	IFNG	1.0	0.36	0.13887660731735282	1.0	1.0	1.7196325338017235
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tnk_effector	NKG7	1.0	0.3466666666666667	0.20923640167625485	1.0	1.0	1.6754416604146198
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	AXL	-1.0	0.06666666666666667	0.1757516890154068	0.6666666666666666	1.0	1.5560302395196006
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	CTD-2201I18.1,SERINC5	-1.0	0.4666666666666667	0.6697495757450568	1.0	0.0	0.9716213584650262
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	CUZD1,FAM24B,FAM24B-CUZD1	1.0	0.41333333333333333	0.6145871641088533	1.0	0.0	0.912186644561935
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	IGHD2-15	1.0	0.7866666666666666	0.6388147763670191	1.0	0.0	0.9382906737442641
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	IGKV4-1	1.0	0.04	0.5986417321957641	1.0	0.0	0.8950062466115001
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	ITGA3	1.0	0.36	0.0043257253586982385	0.6666666666666666	1.0	1.3713274173751953
primary_recist	melanoma_recist_supported_primary	GSE91061	EcoNiche-Opt-WordNoInteraction	word_no_interaction	tumor_dedifferentiation	MITF	-1.0	0.28	0.0025740512474360737	0.6666666666666666	1.0	1.3694400769459745
