endpoint	cohort	analysis_type	model_name	n_samples_ci	n_responders_ci	n_nonresponders_ci	AUROC	AUROC_ci_low	AUROC_ci_high	AUROC_ci_bootstrap_n
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	CXCL9	65	20	45	0.6033333333333333	0.44529839816933636	0.7633096988795519	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	CYT	65	20	45	0.5133333333333333	0.3526542324246773	0.6807388090632771	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	65	20	45	0.5722222222222222	0.40399725400457664	0.739653846153846	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	IFNG	65	20	45	0.5644444444444444	0.3963713127957314	0.7347154195011338	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	IPRES	65	20	45	0.47	0.3191361556064073	0.6293427911782562	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	TIDE_dysfunction	65	20	45	0.568888888888889	0.39888043478260865	0.7345905524681268	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	TIDE_exclusion	65	20	45	0.41555555555555557	0.26591887755102045	0.5625060328185327	1000
primary_recist	GSE93157	nanostring_melanoma_clinical_assay_transfer	TIG	65	20	45	0.5555555555555555	0.38688653981677235	0.7209347545219638	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	APM	121	50	71	0.5290140845070422	0.42251836950713195	0.6326427124931152	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	CXCL9	121	50	71	0.5659154929577465	0.4570072517529312	0.6736774008050603	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	CYT	121	50	71	0.5326760563380282	0.4227941583610188	0.6398976172747579	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	EcoNiche-Opt-HeuristicEcology-LockedPanel	121	50	71	0.5349295774647889	0.42811221103290736	0.6441336819313936	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	IFNG	121	50	71	0.5385915492957747	0.4391687355180404	0.648306695747521	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	IPRES	121	50	71	0.4701408450704226	0.361691899900456	0.5714394720152212	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	TIDE_dysfunction	121	50	71	0.5095774647887324	0.4015955812149421	0.617613846777867	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	TIDE_exclusion	121	50	71	0.46338028169014084	0.3642148486155025	0.5660025554665786	1000
primary_recist	PHS000452_LIU_LIKE_PRE	locked_external_melanoma_pd1_like	TIG	121	50	71	0.5385915492957747	0.4383124384622269	0.6470751633986929	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	APM	32	21	11	0.8484848484848484	0.6874622584541062	0.9591136363636364	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	CXCL9	32	21	11	0.8311688311688312	0.666590909090909	0.950042270531401	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	CYT	32	21	11	0.7662337662337663	0.5603416553442029	0.9371980676328502	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	32	21	11	0.7402597402597402	0.5497029286502971	0.8941331269349846	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	IFNG	32	21	11	0.8268398268398269	0.6622856310356311	0.9420459692028986	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	IPRES	32	21	11	0.36363636363636365	0.17186383928571428	0.574919011082694	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIDE_dysfunction	32	21	11	0.683982683982684	0.4748392857142857	0.850006038647343	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIDE_exclusion	32	21	11	0.3203463203463203	0.1448067632850242	0.5259722222222222	1000
primary_recist	PRJEB23709_COMBO_PRE	locked_external_melanoma_combination_transfer	TIG	32	21	11	0.8268398268398268	0.6730681818181818	0.9433299156983368	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	APM	14	6	8	0.9166666666666666	0.708125	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CXCL9	14	6	8	0.9166666666666667	0.7	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CYT	14	6	8	0.6041666666666666	0.25	0.9166666666666666	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	6	8	0.8333333333333334	0.575	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	IFNG	14	6	8	0.9166666666666666	0.6968150896722325	1.0	999
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	IPRES	14	6	8	0.29166666666666663	0.0	0.6253826530612241	999
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_dysfunction	14	6	8	0.8541666666666667	0.6	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_exclusion	14	6	8	0.2708333333333333	0.0	0.6	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIG	14	6	8	0.9166666666666666	0.7333333333333334	1.0	1000
