endpoint	stratum	holdout	candidate	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l1_C1	0.6308469308469308	0.558801857495489	0.5647402305297042	0.210336828856477	0.6870240352481904
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.05	0.670769581295897	0.5937208229698075	0.5973269420637841	0.22394296365988087	0.7303219695475767
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C0.25	0.6443655759445234	0.579059785885759	0.5790925448820186	0.23198413118479544	0.7022731924829122
primary_recist	melanoma_recist_supported_primary	GSE145996	module_logistic_l2_C1	0.6013179802653487	0.5385047136052927	0.6012785460153881	0.26807307870160696	0.6583071432463827
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_prior_composite	0.5940018315018315	0.5919310143351496	0.5492979242979243	0.3560908807893162	0.6510632784334852
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_positive_composite	0.5564102564102563	0.5717864621255365	0.48498168498168504	0.2589754433667771	0.6092486637656174
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.05	0.5	0.4313429075333837	0.5	0.12862181909800954	0.5465671453766692
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C0.25	0.5112179487179488	0.528138580594721	0.4686355311355312	0.14473889168629991	0.5610566543044614
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l1_C1	0.501037851037851	0.48829259270828124	0.5290750915750916	0.20753103210460253	0.5519062352520197
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.05	0.5163156288156289	0.5322174724574892	0.4718406593406594	0.1842480589924902	0.5665185354055363
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C0.25	0.497481684981685	0.5061196372768543	0.49267399267399264	0.21215371380617656	0.5474213664792273
primary_recist	melanoma_recist_supported_primary	PRJEB23709_PD1_PRE	module_logistic_l2_C1	0.4986874236874237	0.5044944602293192	0.5029456654456654	0.2848776845291254	0.5490594299711729
