endpoint	external_set	model_name	axis	transform	negative_weight	claim_boundary	cohorts	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	threshold	n_samples	n_responders	n_nonresponders	response_prevalence	AUPRC_minus_prevalence
primary_recist	public_melanoma_nontraining_with_combo	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.6003144654088051	0.5455984977343324	0.5983228511530398	0.5918367346938775	0.1980204268451578	0.6039603960396039	0.6777777777777778	0.5188679245283019	0.5446428571428571	0.6547619047619048	0.25593366518705807	0.11930109186430324	0.05024984824358072	-0.15221583102909086	0.3996971989635964	196	90	106	0.45918367346938777	0.08641482426494468
primary_recist	public_melanoma_nontraining_with_combo_and_array	EcoNiche-Opt-MAP4K1-TBX3AXL-RobustZStressOnly	MAP4K1_minus_TBX3_AXL	cohort_robust_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE122220,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.6089950607902735	0.5415301823203942	0.6002089665653496	0.5922330097087378	0.20242757315788432	0.6074766355140186	0.6914893617021277	0.5089285714285714	0.5416666666666666	0.6627906976744186	0.25629859161738505	0.12408348431805902	0.04518189909216305	-0.16624056735946638	0.3996971989635964	206	94	112	0.4563106796116505	0.08521950270874368
primary_recist	current_strict_pd1_like	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE145996,PHS000452_LIU_LIKE_PRE	0.6426332288401254	0.5919823187683284	0.57243618450515	0.5777777777777777	0.1441000541223518	0.5210084033613446	0.5344827586206896	0.6103896103896104	0.5081967213114754	0.6351351351351351	0.23325284934840526	0.06095558882764185	0.47632745229576046	-0.1671857258821199	0.45648625016628536	135	58	77	0.42962962962962964	0.16235268913869877
primary_recist	secondary_small_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE168204	0.5126262626262625	0.4725754448631646	0.43939393939393934	0.41379310344827586	-0.12121212121212122	0.41379310344827586	0.5454545454545454	0.3333333333333333	0.3333333333333333	0.5454545454545454	0.3294962634743401	0.3814816377689756	-0.0650547083545318	-0.49322638442399247	0.45648625016628536	29	11	18	0.3793103448275862	0.09326510003557842
primary_recist	low_n_array_sensitivity	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE122220	0.6666666666666667	0.5249999999999999	0.75	0.7	0.5345224838248488	0.7272727272727273	1.0	0.5	0.5714285714285714	1.0	0.26247224437155153	0.40869768901896986	0.024203722479134448	-0.4135947286230985	0.45648625016628536	10	4	6	0.4	0.12499999999999989
primary_recist	expanded_public_melanoma	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE	0.6054157131960336	0.5407865822116333	0.5470633104500382	0.5487804878048781	0.0929984708281451	0.5	0.5362318840579711	0.5578947368421052	0.46835443037974683	0.6235294117647059	0.250271501846284	0.09237219219529294	0.059533423024813195	-0.31074332386603726	0.45648625016628536	164	69	95	0.42073170731707316	0.12005487489456018
primary_recist	public_melanoma_nontraining_with_combo	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.6033542976939203	0.5568230908415073	0.5488469601677148	0.5510204081632653	0.097550868811701	0.5164835164835165	0.5222222222222223	0.5754716981132075	0.5108695652173914	0.5865384615384616	0.2541876870983316	0.09327937037256392	0.05103712423391302	-0.15404276656883337	0.45648625016628536	196	90	106	0.45918367346938777	0.09763941737211951
primary_recist	public_melanoma_nontraining_with_combo_and_array	EcoNiche-Opt-MAP4K1-TBX3AXL-ZScoreStressOnly	MAP4K1_minus_TBX3_AXL	cohort_zscore	1.0	current_external_stress_screen_not_locked_selection	GSE115821,GSE122220,GSE145996,GSE168204,PHS000452_LIU_LIKE_PRE,PRJEB23709_COMBO_PRE	0.6126994680851064	0.5495831176018512	0.5569908814589666	0.558252427184466	0.11363152148719613	0.5284974093264249	0.5425531914893617	0.5714285714285714	0.5151515151515151	0.5981308411214953	0.25458985007275975	0.09008814620791956	0.045820262006809165	-0.16774432480691634	0.45648625016628536	206	94	112	0.4563106796116505	0.09327243799020069
primary_recist	current_strict_pd1_like	EcoNiche-Opt-MAP4K1-TBX3-PercentileFixed	MAP4K1_minus_TBX3	cohort_gene_percentile	1.0	literature_prior_fixed_pair	GSE145996,PHS000452_LIU_LIKE_PRE	0.6145320197044335	0.5607696769270419	0.572884012539185	0.6074074074074074	0.16790536508370277	0.4175824175824176	0.3275862068965517	0.8181818181818182	0.5757575757575758	0.6176470588235294	0.2606114593323003	0.14894560372142482	0.32277763028012846	-0.320071277266303	0.6996392496392496	135	58	77	0.42962962962962964	0.1311400472974123
primary_recist	secondary_small_melanoma	EcoNiche-Opt-MAP4K1-TBX3-PercentileFixed	MAP4K1_minus_TBX3	cohort_gene_percentile	1.0	literature_prior_fixed_pair	GSE115821,GSE168204	0.6565656565656566	0.5542999784379095	0.5353535353535354	0.6206896551724138	0.09949366763261822	0.26666666666666666	0.18181818181818182	0.8888888888888888	0.5	0.64	0.25305012477535854	0.26312199558348903	0.023178906973434523	-0.4886286410178077	0.6996392496392496	29	11	18	0.3793103448275862	0.17498963361032327
