endpoint	stratum	holdout	train_cohorts	candidate	feature_family	penalty	C	n_features	inner_mean_AUROC	inner_sd_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	selection_score	selected_candidate
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l2_C0.1	all	l2	0.1	66	0.6074451863925548	0.01892843998107152	0.5654584822158515	0.5746358904253641	0.2498334551964758	0.579783590865401	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l2_C0.3	all	l2	0.3	66	0.5773174194226826	0.027078184972921804	0.5465895573663696	0.5650665124349334	0.27378893799706877	0.5396222675950448	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE91061	GSE78220,PRJEB23709_PD1_PRE	all_l2_C1	all	l2	1.0	66	0.5516194331983806	0.02530364372469629	0.5346347118864812	0.53833009096167	0.3382968561083865	0.502603058656506	all_l1_C0.3
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l1_C0.03	module	l1	0.03	7	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.5264370333499254	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l1_C0.1	module	l1	0.1	7	0.5564102564102564	0.05641025641025643	0.43456100624545746	0.5153846153846153	0.16624633009518405	0.5654935100846271	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l1_C0.3	module	l1	0.3	7	0.7192614403140719	0.10131272236535394	0.6272544615460649	0.5666513311250153	0.24709153342886878	0.7155993618279218	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l1_C1	module	l1	1.0	7	0.6799595141700405	0.05688259109311744	0.5673862124151028	0.6347135320819531	0.22423499357515017	0.6993572674328172	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l2_C0.03	module	l2	0.03	7	0.7364372469635627	0.10566801619433197	0.6224487829814254	0.5963010673536989	0.25466833912079184	0.7304629196641055	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l2_C0.1	module	l2	0.1	7	0.7217396638449269	0.10122684333210646	0.6243911692107684	0.5898908109434425	0.2403943246301777	0.7200007509525961	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l2_C0.3	module	l2	0.3	7	0.6865353944301312	0.08140718930192603	0.5855618703077135	0.5729205005520795	0.23411480930513787	0.6909167904417729	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_l2_C1	module	l2	1.0	7	0.643387314439946	0.04082321187584337	0.5382509980639238	0.5851429272481904	0.19344365183106263	0.6700414068961669	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l1_C0.03	signature	l1	0.03	13	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.5204370333499254	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l1_C0.1	signature	l1	0.1	13	0.5551282051282052	0.055128205128205154	0.41226477113672233	0.5153846153846153	0.1709151890339825	0.5559225320919082	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l1_C0.3	signature	l1	0.3	13	0.7133664581033002	0.09285363759047971	0.6011739045831104	0.5584468163415532	0.2600600244349535	0.702970366918206	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l1_C1	signature	l1	1.0	13	0.632879401300454	0.022622991044043694	0.5237720379780741	0.5906238498343761	0.20061709208235615	0.6603837382556049	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l2_C0.03	signature	l2	0.03	13	0.7410501778922831	0.11540915225125753	0.6146731801143956	0.5658354803091645	0.24520468874518125	0.723323990481775	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l2_C0.1	signature	l2	0.1	13	0.7313090418353576	0.11079622132253708	0.6039966892063471	0.5707888602625445	0.247617133454356	0.7147074730896977	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l2_C0.3	signature	l2	0.3	13	0.6811556864188443	0.05807876334192119	0.5650978618096023	0.6153570114096429	0.2114130668275577	0.6946819814751924	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	signature_l2_C1	signature	l2	1.0	13	0.6235676604097655	0.005618942461047716	0.5243041793965457	0.5974635014108698	0.26353690880636327	0.6505312458684851	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l1_C0.03	compact	l1	0.03	15	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.5184370333499254	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l1_C0.1	compact	l1	0.1	15	0.5564102564102564	0.05641025641025643	0.4532333465992002	0.5096153846153846	0.16621062025565855	0.5590776390574687	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l1_C0.3	compact	l1	0.3	15	0.7141332351858668	0.10644092749355905	0.6030376742828576	0.5672923567660411	0.25976417708680277	0.6956165301426546	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l1_C1	compact	l1	1.0	15	0.6535578456631088	0.03304502515028834	0.5363684713044825	0.5758342534658325	0.2310911758122261	0.6698002165198707	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l2_C0.03	compact	l2	0.03	15	0.7396822475769844	0.11916942706416389	0.6129363251924227	0.5762207091154459	0.24255109348566808	0.7188195379970669	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l2_C0.1	compact	l2	0.1	15	0.7047356152619311	0.0919151024414182	0.5902079068167361	0.6097626058152373	0.23536960933214543	0.6979815436138357	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l2_C0.3	compact	l2	0.3	15	0.6615875352717459	0.051331125015335544	0.556152632260574	0.6019874861980125	0.25053532379873145	0.6690563117302264	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	compact_l2_C1	compact	l2	1.0	15	0.6292908845540426	0.01903447429763222	0.5215938841422891	0.5638295914611704	0.2544864154251296	0.6469515530787445	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l1_C0.03	module_signature	l1	0.03	20	0.5	0.0	0.33374813339970133	0.5	0.16625186660029864	0.5134370333499254	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l1_C0.1	module_signature	l1	0.1	20	0.5551282051282052	0.055128205128205154	0.41226477113672233	0.5153846153846153	0.17091514171389963	0.5489225391899206	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l1_C0.3	module_signature	l1	0.3	20	0.7192614403140719	0.10131272236535394	0.6087625072637881	0.5602410747147589	0.2620102291848019	0.6981918492157912	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l1_C1	module_signature	l1	1.0	20	0.6486013986013985	0.033216783216783174	0.5212373898330458	0.5689240583977426	0.25270072891928563	0.6546578395583058	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l2_C0.03	module_signature	l2	0.03	20	0.7447245736719421	0.11651944546681392	0.6240536698360832	0.6445712182554288	0.2486742114132598	0.7237976471229259	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l2_C0.1	module_signature	l2	0.1	20	0.7049073733284259	0.08695865537970798	0.5805170455354298	0.6396669120353331	0.23189313408384554	0.6966791256813047	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l2_C0.3	module_signature	l2	0.3	20	0.6521040363145627	0.03928352349404979	0.5475969503265983	0.6354803091645197	0.2630488526712277	0.6595386571577395	module_l2_C0.03
primary_recist	melanoma_core_high_evidence	GSE78220	GSE91061,PRJEB23709_PD1_PRE	module_signature_l2_C1	module_signature	l2	1.0	20	0.6169856459330143	0.016985645933014326	0.49807783947832956	0.5878021101705312	0.26373933307898145	0.6281298124610195	module_l2_C0.03
