cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
CY89A_Core_15_B10_S22_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2769	63840
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E11_S1019_comb	0.646317201839548	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	3073	83153
cy80_Cd45_pos_Pd1_neg_S219_B03_S219_comb	1.08799775025179	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	4229	95383
cy80_Cd45_pos_Pd1_neg_S227_B11_S227_comb	1.257225387115226	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	4326	207958
CY84_PRIM_POS_ALL_6_A01_S385_comb	0.521761848535104	caf_ecm_exclusion	Mel84	?	treatment.naive	Tirosh	4656	203642
cy60_1_cd_45_pos_4_G03_S75_comb	1.137865423894238	caf_ecm_exclusion	Mel60	T.CD8	post.treatment	Tirosh	3558	127389
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G04_S556_comb	0.84940320995347	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3856	59834
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F03_S1023_comb	1.238486182400348	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2205	44684
CY84_PRIM_POS_ALL_7_E03_S243_comb	2.0443214659456843	caf_ecm_exclusion	Mel84	?	treatment.naive	Tirosh	4616	388496
CY89A_Core_15_E04_S52_comb	3.0676952375879383	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	4517	77578
cy79_p3_CD45_neg_PDL1_neg_A12_S204_comb	0.0	caf_ecm_exclusion	Mel79	Endo.	treatment.naive	Tirosh	4635	189560
CY89A_Core_15_H11_S95_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2384	49829
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F01_S445_comb	3.45860026725846	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	4504	100393
cy74_CD45_pos_B12_S696_comb	0.9768316611530781	caf_ecm_exclusion	Mel74	Macrophage	post.treatment	Tirosh	2757	60760
CY88_3_C02_S602_comb	0.0	caf_ecm_exclusion	Mel88	Mal	post.treatment	Tirosh	8360	675169
cy72_CD45_pos_G07_S943_comb	0.0	caf_ecm_exclusion	Mel72	B.cell	post.treatment	Tirosh	3978	127014
CY88CD45POS_2_H12_S480_comb	3.627407898793499	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	12362	346161
cy79_p3_CD45_pos_PD1_neg_C05_S125_comb	0.87270430870931	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	3688	135824
cy88_cd_45_pos_3_F02_S638_comb	1.129854110099436	caf_ecm_exclusion	Mel88	Macrophage	post.treatment	Tirosh	4888	252368
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B01_S493_comb	1.33958255802241	caf_ecm_exclusion	Mel79	T.CD4	treatment.naive	Tirosh	2066	13126
CY89FNA_F03_S255_comb	0.0	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	2176	57141
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_F02_S1022_comb	0.0	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	2900	55677
cy60_1_cd_45_pos_4_B08_S20_comb	1.118216192420908	caf_ecm_exclusion	Mel60	NK	post.treatment	Tirosh	3161	66485
cy74_CD45_pos_B02_S686_comb	0.750528312516502	caf_ecm_exclusion	Mel74	Macrophage	post.treatment	Tirosh	4039	158864
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_D10_S1006_comb	0.0	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	3301	58710
cy79_p4_CD45_neg_PDL1_neg_C10_S1090_comb	1.01714441419334	caf_ecm_exclusion	Mel79	Mal	treatment.naive	Tirosh	2735	42632
cy94_cd45pos_4_G02_S74_comb	3.161577600242114	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	6196	451654
cy84_Primary_CD45_pos_B02_S398_comb	0.0	caf_ecm_exclusion	Mel84	B.cell	treatment.naive	Tirosh	4395	116436
cy53_1_CD45_pos_1_G08_S80_comb	1.0490230631195059	caf_ecm_exclusion	Mel53	Macrophage	treatment.naive	Tirosh	5973	393253
CY58_1_CD45_D01_S997_comb	1.444419868827922	caf_ecm_exclusion	Mel58	T.CD8	post.treatment	Tirosh	2555	69109
cy94_cd45pos_4_G04_S76_comb	0.0	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	4197	205520
cy60_1_cd_45_pos_3_G12_S372_comb	0.0	caf_ecm_exclusion	Mel60	Macrophage	post.treatment	Tirosh	4031	186073
cy53_1_CD45_neg_G07_S367_comb	1.0333029220818	caf_ecm_exclusion	Mel53	Endo.	treatment.naive	Tirosh	5769	167797
cy94_cd45neg_cd90pos_B07_S307_comb	1.427537589481462	caf_ecm_exclusion	Mel94	CAF	post.treatment	Tirosh	2764	74600
cy84_Primary_CD45_pos_E07_S439_comb	0.0	caf_ecm_exclusion	Mel84	B.cell	treatment.naive	Tirosh	3591	164961
CY94CD45POS_1_E04_S148_comb	0.0545240909325984	caf_ecm_exclusion	Mel94	NK	post.treatment	Tirosh	4583	315918
cy79_p3_CD45_pos_PD1_neg_G05_S173_comb	0.0	caf_ecm_exclusion	Mel79	B.cell	treatment.naive	Tirosh	4270	142226
Cy72_CD45_A08_S680_comb	1.426768181762784	caf_ecm_exclusion	Mel72	?	post.treatment	Tirosh	3169	232214
cy80_Cd45_pos_Pd1_neg_S338_G02_S338_comb	1.149380782751272	caf_ecm_exclusion	Mel80	B.cell	treatment.naive	Tirosh	2479	16666
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H05_S1049_comb	0.0	caf_ecm_exclusion	Mel60	B.cell	post.treatment	Tirosh	3516	33922
cy80_CD45_neg_C05_S893_comb	0.8364907894299121	caf_ecm_exclusion	Mel80	Endo.	treatment.naive	Tirosh	3263	10976
CY89A_Core_15_A03_S3_comb	1.0080119058189119	caf_ecm_exclusion	Mel89	B.cell	treatment.naive	Tirosh	3700	86103
CY94CD45POS_1_G09_S177_comb	1.168641004119146	caf_ecm_exclusion	Mel94	B.cell	post.treatment	Tirosh	5386	960957
CY89A_CD45_POS_6_D11_S143_comb	0.9075461845066141	caf_ecm_exclusion	Mel89	Macrophage	treatment.naive	Tirosh	3612	155293
