cell_id	module_score	state	patient_id	cell_type	treatment_group	Cohort	no.of.genes	no.of.reads
cy128_CD45pos_S185	0.121004030612482	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3766	781254
cy128_CD45pos_S156	0.1982635513800398	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3022	344027
cy121.1_CD45pos_S300	4.7730600344156375	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	4099	487706
cy129_CD45negCD90neg_S2	0.055001409499973994	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3267	1068311
cy121.1_CD45pos_S374	0.251643477907204	myeloid_suppression	Mel121.1	B.cell	post.treatment	New	3722	494230
cy129_CD45negCD90neg_S6	0.01871203523246756	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2339	926389
cy128_CD45pos_S122	0.3662203573730684	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4022	910351
cy129_CD45negCD90neg_S65	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3295	1442147
cy121.1_CD45pos_S333	4.877641631290618	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	4984	886202
cy129_CD45negCD90neg_S91	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	1906	574924
cy128_CD45neg_S250	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	4018	1658554
cy121.1_CD45pos_S312	3.3284690177063654	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	2300	360524
cy128_CD45pos_S136	0.171834891173287	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4345	1053776
cy121.1_CD45pos_S366	0.43768018492064203	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3430	410790
cy128_CD45pos_S152	0.1779725762730358	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3484	473851
cy121.1_CD45pos_S360	2.659957596856806	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4426	760204
cy121.1_CD45pos_S355	0.209786729039584	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	3761	642834
cy128_CD45pos_S130	0.01871203523246756	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4293	855479
cy129_CD45negCD90neg_S25	0.07661090028995848	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7135	1352613
cy121.1_CD45pos_S341	0.0613691000628566	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3736	438258
cy128_CD45pos_S112	0.0272382772574288	myeloid_suppression	Mel128	T.cell	treatment.naive	New	4394	1500214
cy128_CD45neg_S219	0.012700588461231599	myeloid_suppression	Mel128	?	treatment.naive	New	1960	1619468
cy121.1_CD45pos_S303	0.339732599977176	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4522	476741
cy128_CD45neg_S255	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2341	1787098
cy129_CD45negCD90neg_S43	0.0609022083619906	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2795	944431
cy128_CD45pos_S133	0.265422494149418	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	4262	855710
cy128_CD45pos_S101	0.307011518978968	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	4014	654295
cy128_CD45pos_S165	0.12157258056624701	myeloid_suppression	Mel128	T.cell	treatment.naive	New	4314	1117680
cy121.1_CD45pos_S299	2.5505265385009226	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4786	921587
cy128_CD45pos_S97	0.2640863065434016	myeloid_suppression	Mel128	B.cell	treatment.naive	New	5296	1114937
cy121.1_CD45pos_S290	0.92098031670179	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	7926	315739
cy121.1_CD45pos_S362	0.1539543478498896	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4565	740000
cy121.1_CD45pos_S327	0.280326093316948	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4236	598366
cy129_CD45negCD90neg_S22	0.0694197341244536	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	9519	1306687
cy121.1_CD45pos_S324	3.161456402426686	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3741	304132
cy129_CD45negCD90neg_S72	0.023539008533951	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2403	1296967
cy128_CD45pos_S116	0.1437928671519078	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4716	1017799
cy128_CD45pos_S141	0.1729461844629502	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	3864	703290
cy129_CD45negCD90neg_S79	0.0240703880730444	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2062	954274
cy129_CD45negCD90neg_S7	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2999	1190121
cy128_CD45pos_S109	0.12067565679172021	myeloid_suppression	Mel128	T.cell	treatment.naive	New	4244	600041
cy128_CD45pos_S159	0.254882153863568	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3926	741091
cy128_CD45neg_S209	0.041078502597937	myeloid_suppression	Mel128	Mal	treatment.naive	New	2302	1161175
cy121.1_CD45pos_S301	0.11583602962543	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	3518	754624
cy121.1_CD45pos_S294	0.1740532140791966	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3603	432338
cy128_CD45neg_S194	0.025130220332304	myeloid_suppression	Mel128	Mal	treatment.naive	New	3376	2492396
cy128_CD45pos_S180	0.4499167375082786	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3603	629683
cy128_CD45pos_S187	0.2034240376063416	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3793	842046
cy121.1_CD45pos_S381	0.5500346833913897	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	5400	1546389
cy121.1_CD45pos_S309	0.1330785542083782	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4430	710185
cy128_CD45pos_S186	0.1818394125983374	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3540	457570
cy129_CD45negCD90neg_S3	0.0423270506654298	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	4984	2139253
cy121.1_CD45pos_S336	2.252123212483128	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	5069	390714
cy128_CD45pos_S144	0.1768805105967374	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3967	703478
cy128_CD45neg_S231	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2800	1987257
cy128_CD45pos_S150	0.19046671327393722	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3684	670331
cy128_CD45neg_S275	1.063255026987528	myeloid_suppression	Mel128	Mal	treatment.naive	New	13691	1000559
cy128_CD45pos_S173	0.340797320772686	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3516	598556
cy128_CD45neg_S216	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	4281	1610842
cy129_CD45negCD90neg_S70	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	1877	912217
cy121.1_CD45pos_S293	0.11910073210054839	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4543	671786
cy128_CD45pos_S179	0.3635736785044784	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	4078	1064761
cy128_CD45pos_S125	0.1413282114618818	myeloid_suppression	Mel128	T.cell	treatment.naive	New	4004	801396
cy129_CD45negCD90neg_S60	0.0388174104232604	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	4191	1401862
cy121.1_CD45pos_S289	0.3766915672990034	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	8314	1479576
cy121.1_CD45pos_S297	0.1984086552343314	myeloid_suppression	Mel121.1	B.cell	post.treatment	New	5163	996144
cy128_CD45neg_S256	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2856	1956546
cy129_CD45negCD90neg_S26	0.040326772233930004	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2087	668957
cy128_CD45pos_S190	0.07032566582055641	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3119	348391
cy121.1_CD45pos_S334	1.8577031820525938	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	3827	468511
cy128_CD45pos_S151	0.1101801329295046	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3686	746798
cy129_CD45negCD90neg_S85	1.082694418524084	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	6272	314540
cy121.1_CD45pos_S376	0.1991330819472218	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4055	602687
cy129_CD45negCD90neg_S87	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3672	1444719
cy121.1_CD45pos_S351	0.21435253386001799	myeloid_suppression	Mel121.1	NK	post.treatment	New	4750	888464
cy128_CD45pos_S155	0.0554779397621728	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	4179	876444
cy129_CD45negCD90neg_S32	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	4685	1618052
cy128_CD45neg_S283	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2199	1283366
cy128_CD45neg_S196	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2617	2007494
cy128_CD45neg_S213	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2332	953218
cy121.1_CD45pos_S325	0.31622203504511004	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	3560	429022
cy129_CD45negCD90neg_S46	0.008248596446376261	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	5012	1809388
cy129_CD45negCD90neg_S1	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7435	644748
cy128_CD45neg_S281	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	1774	921411
cy128_CD45pos_S127	0.22854803442321597	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3554	541659
cy128_CD45pos_S143	0.481198471935168	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4088	640144
cy128_CD45pos_S182	0.044808054843586	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	4060	891984
cy129_CD45negCD90neg_S8	0.0400757595968052	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2180	861988
cy121.1_CD45pos_S348	4.669078776192689	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	5240	387341
cy129_CD45negCD90neg_S78	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2297	1185753
cy128_CD45pos_S142	0.1393768181710908	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4285	747012
cy121.1_CD45pos_S307	0.316029096884676	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4270	677764
cy121.1_CD45pos_S311	1.068759729464534	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3758	305946
cy121.1_CD45pos_S379	0.09995642402946239	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4425	775406
cy128_CD45neg_S261	0.0319258371642456	myeloid_suppression	Mel128	Mal	treatment.naive	New	2911	1437526
cy128_CD45neg_S193	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	4804	3172951
cy121.1_CD45pos_S372	1.6683061200962161	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4273	706453
cy121.1_CD45pos_S339	0.1683141274791034	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	5356	729667
cy129_CD45negCD90neg_S56	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2703	1191769
cy129_CD45negCD90neg_S54	0.05284723020870939	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	8258	1722311
cy121.1_CD45pos_S354	0.286698727969376	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3336	300272
cy121.1_CD45pos_S343	0.317472998187292	myeloid_suppression	Mel121.1	NK	post.treatment	New	4062	588210
cy121.1_CD45pos_S323	2.557902151906192	myeloid_suppression	Mel121.1	B.cell	post.treatment	New	4725	684118
cy129_CD45negCD90neg_S86	0.09954801772181861	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7229	1253182
cy121.1_CD45pos_S382	1.6993790972294167	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4102	607439
cy128_CD45neg_S233	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2211	1606993
cy121.1_CD45pos_S335	4.006252470820108	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4250	597008
cy129_CD45negCD90neg_S27	0.027762893780456398	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3448	1235737
cy128_CD45neg_S277	0.0339850002884624	myeloid_suppression	Mel128	Mal	treatment.naive	New	5422	3016197
cy129_CD45negCD90neg_S4	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2998	1401927
cy121.1_CD45pos_S295	1.1913488045986622	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4632	745364
cy129_CD45negCD90neg_S44	0.0140778655782796	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2466	2049428
cy128_CD45neg_S265	0.0104831788302277	myeloid_suppression	Mel128	Mal	treatment.naive	New	1884	1299271
cy129_CD45negCD90neg_S68	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3967	1134741
cy121.1_CD45pos_S370	0.818897889672502	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	3900	249108
cy121.1_CD45pos_S330	0.1721528405257656	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4062	532478
cy129_CD45negCD90neg_S75	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2771	1092649
cy121.1_CD45pos_S345	0.202728182133878	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3799	774926
cy121.1_CD45pos_S320	0.423859414695505	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	5719	948328
cy129_CD45negCD90neg_S18	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	1734	728134
cy128_CD45neg_S200	0.1216452741506026	myeloid_suppression	Mel128	Mal	treatment.naive	New	2244	687882
cy121.1_CD45pos_S373	0.249463986995964	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3886	726544
cy121.1_CD45pos_S310	4.307708504171321	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	5802	1600038
cy128_CD45pos_S160	0.4192172795433648	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4305	879757
cy129_CD45negCD90neg_S28	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2939	1132703
cy128_CD45pos_S161	5.588208274687392	myeloid_suppression	Mel128	Macrophage	treatment.naive	New	5219	1432784
cy121.1_CD45pos_S350	0.15106298080901961	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4072	617792
cy121.1_CD45pos_S346	0.1350728625498292	myeloid_suppression	Mel121.1	B.cell	post.treatment	New	3588	421268
cy128_CD45pos_S138	0.173579292798531	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4157	743145
cy128_CD45neg_S229	0.0324420072628614	myeloid_suppression	Mel128	Mal	treatment.naive	New	2290	1363025
cy128_CD45neg_S212	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	1885	877185
cy128_CD45pos_S172	0.284554243864094	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4124	959944
cy128_CD45pos_S134	0.22762081689723365	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3843	877417
cy128_CD45neg_S232	0.0	myeloid_suppression	Mel128	?	treatment.naive	New	1841	820210
cy121.1_CD45pos_S364	5.256899259265697	myeloid_suppression	Mel121.1	?	post.treatment	New	1929	909016
cy129_CD45negCD90neg_S41	0.08594161590300706	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7096	1745688
cy129_CD45negCD90neg_S53	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3130	1498098
cy128_CD45pos_S181	0.1781282487926888	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4548	1422676
cy128_CD45pos_S178	0.082718816481835	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	7268	2155337
cy129_CD45negCD90neg_S14	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3036	987311
cy121.1_CD45pos_S368	0.210483178830228	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4078	504547
cy121.1_CD45pos_S367	4.376790837854944	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	4951	910870
cy129_CD45negCD90neg_S23	0.0997522931343704	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7525	1690916
cy128_CD45pos_S183	0.1773490449484218	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	3863	768788
cy121.1_CD45pos_S352	0.28401562319587403	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3599	359176
cy128_CD45neg_S248	0.0383125301401512	myeloid_suppression	Mel128	Mal	treatment.naive	New	3285	1154223
cy128_CD45pos_S140	0.207406146188994	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3776	757199
cy121.1_CD45pos_S383	1.7248299912496825	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	3811	680138
cy128_CD45pos_S147	3.6686030213167227	myeloid_suppression	Mel128	Macrophage	treatment.naive	New	5797	1600971
cy129_CD45negCD90neg_S9	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3073	1477949
cy128_CD45neg_S243	0.0272382772574288	myeloid_suppression	Mel128	?	treatment.naive	New	1897	1633228
cy129_CD45negCD90neg_S71	0.1936662300920648	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	6913	1450022
cy121.1_CD45pos_S316	0.1563139089631948	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	3904	562951
cy128_CD45pos_S171	0.223272951338356	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3902	817715
cy121.1_CD45pos_S375	0.274144455029634	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4330	758481
cy129_CD45negCD90neg_S76	0.023006648589248	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3119	1230205
cy121.1_CD45pos_S347	3.262750291451346	myeloid_suppression	Mel121.1	Macrophage	post.treatment	New	5481	995902
cy128_CD45pos_S117	0.24431355770768198	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	4247	762459
cy128_CD45pos_S114	0.25091880860662796	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3761	949970
cy128_CD45pos_S176	0.300364253084182	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	3737	695311
cy128_CD45pos_S164	0.0981140260892402	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3835	676064
cy121.1_CD45pos_S344	3.284261721110718	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4693	400398
cy128_CD45neg_S253	0.0104831788302277	myeloid_suppression	Mel128	Mal	treatment.naive	New	2770	2835218
cy121.1_CD45pos_S313	0.4021651321195144	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4591	671710
cy128_CD45pos_S163	0.1422108643624132	myeloid_suppression	Mel128	B.cell	treatment.naive	New	5786	1369417
cy128_CD45pos_S146	0.23615687821574	myeloid_suppression	Mel128	T.cell	treatment.naive	New	4029	924953
cy128_CD45neg_S287	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2518	1124808
cy121.1_CD45pos_S322	1.638567281664006	myeloid_suppression	Mel121.1	NK	post.treatment	New	4710	631336
cy129_CD45negCD90neg_S39	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2940	992245
cy121.1_CD45pos_S378	0.265652405721882	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4004	592967
cy121.1_CD45pos_S338	0.18367724688926962	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4652	950154
cy128_CD45pos_S177	0.300567951651186	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	4040	693988
cy128_CD45pos_S149	0.1154495071186302	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	3656	938795
cy128_CD45pos_S145	0.1046120123590498	myeloid_suppression	Mel128	T.CD8	treatment.naive	New	4166	871952
cy129_CD45negCD90neg_S15	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	3702	1366040
cy121.1_CD45pos_S305	0.11967304106472901	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4163	637432
cy129_CD45negCD90neg_S47	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2672	1562486
cy128_CD45neg_S236	0.021403649976424	myeloid_suppression	Mel128	Mal	treatment.naive	New	3953	1877235
cy128_CD45neg_S221	0.036284128056028396	myeloid_suppression	Mel128	?	treatment.naive	New	1850	1143981
cy129_CD45negCD90neg_S73	1.574783656886798	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	8768	426226
cy128_CD45neg_S220	0.01952215932528446	myeloid_suppression	Mel128	Mal	treatment.naive	New	2314	1484570
cy128_CD45pos_S169	0.0627652592780796	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3807	806175
cy128_CD45pos_S120	0.0616022629104356	myeloid_suppression	Mel128	T.cell	treatment.naive	New	3535	415039
cy128_CD45pos_S157	0.1334421824961742	myeloid_suppression	Mel128	T.CD4	treatment.naive	New	4138	1127827
cy121.1_CD45pos_S331	0.204580080422016	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4629	670270
cy121.1_CD45pos_S329	0.208808866541204	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4364	649426
cy129_CD45negCD90neg_S19	0.0227400998329456	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2282	913536
cy128_CD45pos_S131	0.1189097099100708	myeloid_suppression	Mel128	T.cell	treatment.naive	New	2993	284536
cy128_CD45pos_S170	0.243197830829344	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4126	822786
cy128_CD45pos_S132	0.1627870140962634	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3354	299795
cy121.1_CD45pos_S353	0.233856732223146	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	4325	615776
cy128_CD45pos_S158	0.27317209559019695	myeloid_suppression	Mel128	B.cell	treatment.naive	New	4608	1015913
cy121.1_CD45pos_S321	0.31172915428937537	myeloid_suppression	Mel121.1	T.CD4	post.treatment	New	3968	457827
cy129_CD45negCD90neg_S92	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2872	1487327
cy128_CD45pos_S168	0.22658116240230203	myeloid_suppression	Mel128	B.cell	treatment.naive	New	3573	449241
cy121.1_CD45pos_S369	0.203869217760962	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4475	699529
cy129_CD45negCD90neg_S77	0.0	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	2409	1121344
cy121.1_CD45pos_S340	0.28605705459555597	myeloid_suppression	Mel121.1	T.CD8	post.treatment	New	4305	675087
cy129_CD45negCD90neg_S90	0.0472679078336748	myeloid_suppression	Mel129pa	Mal	treatment.naive	New	7505	1630153
cy121.1_CD45pos_S315	0.359153389556478	myeloid_suppression	Mel121.1	NK	post.treatment	New	3996	573131
cy128_CD45neg_S270	0.0	myeloid_suppression	Mel128	Mal	treatment.naive	New	2830	2015602
cy121.1_CD45pos_S328	0.82647259447306	myeloid_suppression	Mel121.1	T.cell	post.treatment	New	4096	457534
cy129PA_CD45pos_S111	0.0	myeloid_suppression	Mel129pa	?	treatment.naive	New	3490	1544673
cy129PA_CD45pos_S188	0.0344975031020268	myeloid_suppression	Mel129pa	?	treatment.naive	New	2658	1197151
cy129PA_CD45pos_S140	0.1627870140962634	myeloid_suppression	Mel129pa	?	treatment.naive	New	4581	1541326
cy129PA_CD45pos_S114	0.0	myeloid_suppression	Mel129pa	?	treatment.naive	New	2113	2065205
cy129PA_CD45pos_S148	0.0	myeloid_suppression	Mel129pa	?	treatment.naive	New	1796	202836
cy129PA_CD45pos_S145	0.0	myeloid_suppression	Mel129pa	?	treatment.naive	New	1832	67636
monika_A12_S100_comb_BCD8_3	0.278793055132048	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5678	1089585
CY75_1_CD45_CD8_3__S110_comb_BCD8	0.7070364091241801	myeloid_suppression	Mel75	?	post.treatment	Tirosh	2724	82285
monika_E12_S137_comb_BCD8_3	0.39607819121229404	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4302	691601
CY75_1_CD45_CD8_7__S213_comb_BCD8	0.46941973412445404	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	3572	180965
CY75_1_CD45_CD8_3__S170_comb_BCD8	0.25973166311290397	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4001	142896
CY75_1_CD45_CD8_8__S384_comb_BCD8	0.228678683738638	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4209	366358
CY75_1_CD45_CD8_1__S96_comb_BCD8	0.400297618711584	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4704	319728
CY75_1_CD45_CD8_3__S162_comb_BCD8	0.7426951750109401	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4341	117930
CY75_1_CD45_CD8_7__S256_comb_BCD8	0.783906155277458	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5019	193673
CY75_1_CD45_CD8_7__S194_comb_BCD8	0.00229912776756588	myeloid_suppression	Mel75	NK	post.treatment	Tirosh	5216	241716
CY75_1_CD45_CD8_8__S348_comb_BCD8	0.46154398986001405	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5029	404000
monika_D3_S128_comb_BCD8_3	0.291361229846094	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	6072	1265225
CY75_1_CD45_CD8_3__S128_comb_BCD8	0.52076680375691	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4487	173812
CY75_1_CD45_CD8_7__S207_comb_BCD8	0.626219110328338	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4402	213616
monika_D4_S129_comb_BCD8_3	1.40761479397318	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5075	1266894
CY75_1_CD45_CD8_8__S310_comb_BCD8	0.9501545689259039	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	3940	145113
CY75_1_CD45_CD8_3__S169_comb_BCD8	0.378905354051478	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	3608	163556
CY75_1_CD45_CD8_7__S284_comb_BCD8	0.405855236474126	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4802	514705
CY75_1_CD45_CD8_3__S182_comb_BCD8	0.24157857032826602	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	3803	186360
CY75_1_CD45_CD8_3__S159_comb_BCD8	0.42073309655314006	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5331	507428
CY75_1_CD45_CD8_8__S316_comb_BCD8	0.483691967516198	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4711	193049
CY75_1_CD45_CD8_3__S124_comb_BCD8	0.304812735155442	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	4233	158410
CY75_1_CD45_CD8_7__S206_comb_BCD8	0.48669872796937597	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5592	380204
CY75_1_CD45_CD8_7__S240_comb_BCD8	0.7657060074156761	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	6922	243783
CY75_1_CD45_CD8_8__S318_comb_BCD8	0.0	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	2216	119839
CY75_1_CD45_CD8_3__S157_comb_BCD8	0.239573078270748	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5416	598435
CY75_1_CD45_CD8_7__S246_comb_BCD8	0.291781381370174	myeloid_suppression	Mel75	?	post.treatment	Tirosh	2536	170529
CY75_1_CD45_CD8_8__S303_comb_BCD8	1.426331559674092	myeloid_suppression	Mel75	T.CD8	post.treatment	Tirosh	5137	194582
