endpoint	stratum	holdout	candidate	selection_score	inner_mean_AUROC	inner_mean_AUPRC	inner_mean_balanced_accuracy	inner_mean_ECE	inner_sd_AUROC	weights
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.25_cytpen_1.00	0.7175771318960282	0.6524352840142313	0.4850718917513466	0.6217181940866152	0.2530651415556328	0.10115323273218008	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.25_cytpen_1.25	0.6016960034542465	0.5550269905533063	0.3948777928090783	0.4860691939639308	0.34010031255443085	0.03707827260458835	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.25}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.50_cytpen_0.50	0.8280156632499948	0.7464758925285241	0.6319716642380935	0.6858882345724451	0.2633565603849378	0.11955281560544717	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.50_cytpen_0.75	0.8049401615094968	0.727846276530487	0.5837655553294058	0.6741872162924794	0.24414188159132585	0.12143602012023064	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.50_cytpen_1.00	0.7990937971658587	0.7153723469512944	0.5768048034039147	0.6870077291129922	0.2138020544173915	0.10639798797693534	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.50_cytpen_1.25	0.7307559413929418	0.6604281683229052	0.5218224951853687	0.6182554287817446	0.26722590790298806	0.08478714268187953	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.5}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.75_cytpen_0.50	0.8166439747463109	0.7409642988590357	0.6290470979765419	0.6314623972518709	0.26793798479143505	0.11788737578211261	"{""CYT"": -0.5, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.75_cytpen_0.75	0.8232784051233901	0.7392559195190774	0.6075345653143054	0.6987087473929579	0.23878866890803233	0.11361489387805179	"{""CYT"": -0.75, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.75_cytpen_1.00	0.8104746802078593	0.7300269905533063	0.5890699630916257	0.6741872162924794	0.23462373762939842	0.11207827260458841	"{""CYT"": -1.0, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_dysfunction_0.75_cytpen_1.25	0.7875114132243964	0.7066157526683843	0.5714500381229923	0.6730339835602994	0.2530651415556328	0.09123113728376886	"{""CYT"": -1.25, ""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_dysfunction"": 0.75}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_exclusion_context_0.25	0.8075633337950773	0.7321156913262176	0.5996097315639586	0.670598699546068	0.23355190582027466	0.14109005030057664	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.25}"
primary_recist	melanoma_core_high_evidence	GSE78220	rank_module_exclusion_context_0.50	0.7952108627757428	0.7176726781989939	0.5899983241841252	0.7268187952398479	0.2471155582841375	0.1471598576861734	"{""EcoNiche-Opt-ModulePriorFixed"": 1.0, ""TIDE_exclusion"": 0.5}"
