endpoint	cohort	blend_id	blend_type	axis	AUROC	AUPRC	balanced_accuracy	threshold	n_samples	n_responders	n_nonresponders
strict_recist	GSE145996	0.00*cohort_gene_percentile+1.00*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.3746128940154562	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.00*cohort_gene_percentile+1.00*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6515151515151516	0.6377313029851331	0.6087121212121211	0.3746128940154562	103	48	55
strict_recist	GSE145996	0.05*cohort_gene_percentile+0.95*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.3803157580691663	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.05*cohort_gene_percentile+0.95*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6515151515151515	0.6370093458869307	0.6100378787878787	0.3803157580691663	103	48	55
strict_recist	GSE145996	0.10*cohort_gene_percentile+0.90*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.386024965686896	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.10*cohort_gene_percentile+0.90*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6515151515151516	0.6363362878924926	0.6204545454545455	0.386024965686896	103	48	55
strict_recist	GSE145996	0.15*cohort_gene_percentile+0.85*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.39174052745890264	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.15*cohort_gene_percentile+0.85*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6518939393939394	0.6365132800762875	0.6204545454545455	0.39174052745890264	103	48	55
strict_recist	GSE145996	0.20*cohort_gene_percentile+0.80*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.3970686334379904	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.20*cohort_gene_percentile+0.80*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6518939393939395	0.6360787180915524	0.6113636363636363	0.3970686334379904	103	48	55
strict_recist	GSE145996	0.25*cohort_gene_percentile+0.75*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.7375	0.4017767752374465	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.25*cohort_gene_percentile+0.75*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6522727272727272	0.6365389560300785	0.6113636363636363	0.4017767752374465	103	48	55
strict_recist	GSE145996	0.30*cohort_gene_percentile+0.70*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.43156771455316445	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.30*cohort_gene_percentile+0.70*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.65	0.6282705680485496	0.6282196969696969	0.43156771455316445	103	48	55
strict_recist	GSE145996	0.35*cohort_gene_percentile+0.65*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.46283587364986795	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.35*cohort_gene_percentile+0.65*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6507575757575758	0.6291889886457217	0.6450757575757575	0.46283587364986795	103	48	55
strict_recist	GSE145996	0.40*cohort_gene_percentile+0.60*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.467262658159902	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.40*cohort_gene_percentile+0.60*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6488636363636363	0.6256418355395467	0.6464015151515151	0.467262658159902	103	48	55
strict_recist	GSE145996	0.45*cohort_gene_percentile+0.55*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.44431579995562115	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.45*cohort_gene_percentile+0.55*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6484848484848484	0.6276783370497323	0.6113636363636363	0.44431579995562115	103	48	55
strict_recist	GSE145996	0.50*cohort_gene_percentile+0.50*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.4477737218847893	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.50*cohort_gene_percentile+0.50*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6462121212121212	0.6171079956947203	0.6113636363636363	0.4477737218847893	103	48	55
strict_recist	GSE145996	0.55*cohort_gene_percentile+0.45*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.4512316438139574	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.55*cohort_gene_percentile+0.45*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.643560606060606	0.6001907779043406	0.6022727272727273	0.4512316438139574	103	48	55
strict_recist	GSE145996	0.60*cohort_gene_percentile+0.40*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.875	0.9206845238095238	0.8375	0.4546895657431256	13	8	5
strict_recist	PHS000452_LIU_LIKE_PRE	0.60*cohort_gene_percentile+0.40*cohort_robust_zscore	pair_grid	MAP4K1_minus_TBX3_AXL	0.6443181818181819	0.5976696534400411	0.6022727272727273	0.4546895657431256	103	48	55
