candidate	group	external_AUROC	external_AUPRC	external_BA	primary_AUROC	primary_AUPRC	primary_BA
0.80*base+0.20*rz__CD3G	gse145996_only	0.9	0.9317956349206349	0.7125	0.7762413576367064	0.671126003167857	0.6390634820867378
0.80*base+0.20*rz__BLK	strict_phs_gse	0.6815476190476191	0.6922933656015008	0.6726190476190477	0.7759270898805783	0.6739765087283944	0.7418290383406663
0.80*base+0.20*rz__BLK	phs_only	0.6613636363636365	0.6600626485505977	0.6710227272727273	0.7759270898805783	0.6739765087283944	0.7418290383406663
0.80*base+0.20*rz__BLK	gse145996_only	0.8	0.874440836940837	0.7125	0.7759270898805783	0.6739765087283944	0.7418290383406663
0.80*base+0.20*pct__IKZF3	strict_phs_gse	0.6683035714285714	0.6843576353613765	0.5928571428571429	0.7759270898805782	0.6731898931851816	0.6915461973601509
0.80*base+0.20*pct__IKZF3	phs_only	0.643560606060606	0.6464484181875123	0.5785984848484849	0.7759270898805782	0.6731898931851816	0.6915461973601509
0.80*base+0.20*pct__IKZF3	gse145996_only	0.925	0.9526289682539683	0.7125	0.7759270898805782	0.6731898931851816	0.6915461973601509
0.65*base+0.35*rz__IKZF3	strict_phs_gse	0.6675595238095238	0.6889067184574004	0.5904761904761905	0.7752985543683218	0.6606951589816321	0.7474858579509742
0.65*base+0.35*rz__IKZF3	phs_only	0.6450757575757576	0.6546245034140844	0.5642045454545455	0.7752985543683218	0.6606951589816321	0.7474858579509742
0.65*base+0.35*rz__IKZF3	gse145996_only	0.925	0.9526289682539683	0.8125	0.7752985543683218	0.6606951589816321	0.7474858579509742
0.80*base+0.20*pct__LCK	strict_phs_gse	0.6688988095238095	0.692491867451748	0.6178571428571429	0.7749842866121937	0.6747618936365569	0.7020741671904462
0.80*base+0.20*pct__LCK	phs_only	0.643939393939394	0.6574215678318772	0.6162878787878787	0.7749842866121937	0.6747618936365569	0.7020741671904462
0.80*base+0.20*pct__LCK	gse145996_only	0.9	0.9317956349206349	0.65	0.7749842866121937	0.6747618936365569	0.7020741671904462
