mean_delta	ci_low	ci_high	p_value	endpoint	stratum	comparison	baseline_model	n_samples	target_AUROC	baseline_AUROC	target_AUPRC	baseline_AUPRC	target_ECE	baseline_ECE	is_strong_baseline	status	fdr_q
-0.07029995239455278	-0.1591229575555128	0.02367332485625825	0.144	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ModulePrior	EcoNiche-Opt-ModulePrior	160	0.4549019607843138	0.5259607843137255	0.4924718290670706	0.5667812965223364	0.23135756350104134	0.14400407314172167	False	computed_from_matched_predictions	0.17279999999999998
-0.07026420595105079	-0.148258556547619	0.002906346094213759	0.064	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordNoInteraction	EcoNiche-Opt-WordNoInteraction	160	0.4549019607843138	0.5253333333333334	0.4924718290670706	0.5739085807001892	0.23135756350104134	0.1290501887186202	True	computed_from_matched_predictions	0.08861538461538462
-0.045624151993572226	-0.18316750700280107	0.10101820465231658	0.5	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_TIDE_exclusion	TIDE_exclusion	160	0.4549019607843138	0.5007058823529411	0.4924718290670706	0.5076649639471131	0.23135756350104134	0.18729384403882451	True	computed_from_matched_predictions	0.5625
-0.028090244267343335	-0.16642977915804	0.11602473585464597	0.7	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_IPRES	IPRES	160	0.4549019607843138	0.4829803921568627	0.4924718290670706	0.5233946374274157	0.23135756350104134	0.21752111266853125	True	computed_from_matched_predictions	0.7411764705882353
0.0	0.0	0.0	1.0	clinical_benefit	melanoma_anti_pd1_primary	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordNoBioObjective	EcoNiche-Opt-WordNoBioObjective	160	0.4549019607843138	0.4549019607843138	0.4924718290670706	0.4924718290670706	0.23135756350104134	0.23135756350104134	True	computed_from_matched_predictions	1.0
-0.08185892778166032	-0.2	0.029851190476190403	0.174	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordNoInteraction	EcoNiche-Opt-WordNoInteraction	29	0.5959595959595959	0.6767676767676768	0.5123501572699434	0.5905092946269417	0.21906259352366797	0.11690097447976923	True	computed_from_matched_predictions	0.7128
-0.0463484138375123	-0.2525252525252526	0.15217962184873943	0.63	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_PDCD1LG2	PDCD1LG2	29	0.5959595959595959	0.6414141414141414	0.5123501572699434	0.5056528908801635	0.21906259352366797	0.16742823346015567	True	computed_from_matched_predictions	0.756
0.0	0.0	0.0	1.0	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordNoBioObjective	EcoNiche-Opt-WordNoBioObjective	29	0.5959595959595959	0.5959595959595959	0.5123501572699434	0.5123501572699434	0.21906259352366797	0.21906259352366797	True	computed_from_matched_predictions	1.0
0.012963992646276267	-0.22078858641358642	0.25013888888888886	0.888	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-ImmuneComposite	EcoNiche-Opt-ImmuneComposite	29	0.5959595959595959	0.5808080808080809	0.5123501572699434	0.4251678273417404	0.21906259352366797	0.24575792074119318	True	computed_from_matched_predictions	0.9402352941176471
0.04295753526225796	-0.22553475935828873	0.309577922077922	0.774	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_TIG	TIG	29	0.5959595959595959	0.5505050505050505	0.5123501572699434	0.40555301423722473	0.21906259352366797	0.22073522020582598	True	computed_from_matched_predictions	0.87075
0.060069068470490934	-0.15014610389610392	0.26924019607843125	0.584	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-WordUnsignedGraph	EcoNiche-Opt-WordUnsignedGraph	29	0.5959595959595959	0.5404040404040404	0.5123501572699434	0.4095937828628512	0.21906259352366797	0.21646742319296142	True	computed_from_matched_predictions	0.756
0.0735301588262323	-0.19047619047619047	0.3500240384615384	0.614	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_CYT	CYT	29	0.5959595959595959	0.5202020202020202	0.5123501572699434	0.39785379426527745	0.21906259352366797	0.2246045841964129	True	computed_from_matched_predictions	0.756
0.07790413550023659	-0.19049369747899159	0.3444642857142858	0.57	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_IFNG	IFNG	29	0.5959595959595959	0.5151515151515151	0.5123501572699434	0.3939809586548717	0.21906259352366797	0.22367597333297023	True	computed_from_matched_predictions	0.756
0.09384100403249852	-0.1790191387559809	0.3725787284610813	0.496	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_APM	APM	29	0.5959595959595959	0.49999999999999994	0.5123501572699434	0.37764515842184543	0.21906259352366797	0.33785404761076915	True	computed_from_matched_predictions	0.756
0.09764913696670359	-0.16680555555555562	0.3583396464646465	0.476	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_EcoNiche-Opt-AdaptiveConsensus	EcoNiche-Opt-AdaptiveConsensus	29	0.5959595959595959	0.4949494949494949	0.5123501572699434	0.3770461507303613	0.21906259352366797	0.2476318189831844	False	computed_from_matched_predictions	0.756
0.1036890831745691	-0.18343749999999995	0.389725899100899	0.468	clinical_benefit	melanoma_binary_response_stress	EcoNiche-Opt-WordFullGraph_vs_CXCL9	CXCL9	29	0.5959595959595959	0.48989898989898994	0.5123501572699434	0.37451829216535104	0.21906259352366797	0.2844178858350362	True	computed_from_matched_predictions	0.756
