endpoint	stratum	holdout	model_name	selected_model	edge_id	source_state	target_state	gene_a	gene_b	edge_class
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|antigen_presentation_mhc|IFNG|HLA-A|regulatory	tnk_effector	antigen_presentation_mhc	IFNG	HLA-A	regulatory
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|HLA-A|PSMB9|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	HLA-A	PSMB9	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|antigen_presentation_mhc|HLA-A|HLA-DRA|coexpression_network	antigen_presentation_mhc	antigen_presentation_mhc	HLA-A	HLA-DRA	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|PSMB9|PDCD1|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	PSMB9	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|caf_ecm_exclusion|HLA-A|PDCD1|coexpression_network	antigen_presentation_mhc	caf_ecm_exclusion	HLA-A	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|HLA-DRA|CSF1R|coexpression_network	antigen_presentation_mhc	myeloid_suppression	HLA-DRA	CSF1R	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|myeloid_suppression|HLA-DRA|CD163|coexpression_network	antigen_presentation_mhc	myeloid_suppression	HLA-DRA	CD163	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|PSMB9|PDCD1|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	PSMB9	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tcell_dysfunction|PSMB9|LAG3|coexpression_network	antigen_presentation_mhc	tcell_dysfunction	PSMB9	LAG3	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|PSMB9|IFNG|coexpression_network	antigen_presentation_mhc	tnk_effector	PSMB9	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tnk_effector|HLA-A|IFNG|coexpression_network	antigen_presentation_mhc	tnk_effector	HLA-A	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|IGHGP|IGHGP|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	IGHGP	IGHGP	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	antigen_presentation_mhc|tumor_dedifferentiation|IGHGP|IGKV1-17|coexpression_network	antigen_presentation_mhc	tumor_dedifferentiation	IGHGP	IGKV1-17	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|caf_ecm_exclusion|CXCL12|PDCD1|coexpression_network	caf_ecm_exclusion	caf_ecm_exclusion	CXCL12	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|LOC102724050|LOC101927356|coexpression_network	caf_ecm_exclusion	myeloid_suppression	LOC102724050	LOC101927356	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|myeloid_suppression|CXCL12|CSF1R|coexpression_network	caf_ecm_exclusion	myeloid_suppression	CXCL12	CSF1R	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|PDCD1|PDCD1|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	PDCD1	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tcell_dysfunction|PDCD1|LAG3|coexpression_network	caf_ecm_exclusion	tcell_dysfunction	PDCD1	LAG3	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tnk_effector|PDCD1|IFNG|coexpression_network	caf_ecm_exclusion	tnk_effector	PDCD1	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tnk_effector|PDCD1|GNLY|coexpression_network	caf_ecm_exclusion	tnk_effector	PDCD1	GNLY	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|VIM|VIM|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	VIM	VIM	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	caf_ecm_exclusion|tumor_dedifferentiation|PDCD1|TRAJ1|coexpression_network	caf_ecm_exclusion	tumor_dedifferentiation	PDCD1	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|myeloid_suppression|CD163|CSF1R|coexpression_network	myeloid_suppression	myeloid_suppression	CD163	CSF1R	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|myeloid_suppression|CSF1R|TGFB1|coexpression_network	myeloid_suppression	myeloid_suppression	CSF1R	TGFB1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tcell_dysfunction|IGHV6-1|PDCD1|coexpression_network	myeloid_suppression	tcell_dysfunction	IGHV6-1	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tcell_dysfunction|CSF1R|IFNG|coexpression_network	myeloid_suppression	tcell_dysfunction	CSF1R	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tnk_effector|IGHV6-1|IGHV6-1|coexpression_network	myeloid_suppression	tnk_effector	IGHV6-1	IGHV6-1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tnk_effector|CSF1R|IFNG|coexpression_network	myeloid_suppression	tnk_effector	CSF1R	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tumor_dedifferentiation|IGHV6-1|IGHGP|coexpression_network	myeloid_suppression	tumor_dedifferentiation	IGHV6-1	IGHGP	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	myeloid_suppression|tumor_dedifferentiation|IGHV6-1|IGKV1-17|coexpression_network	myeloid_suppression	tumor_dedifferentiation	IGHV6-1	IGKV1-17	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tcell_dysfunction|LAG3|PDCD1|coexpression_network	tcell_dysfunction	tcell_dysfunction	LAG3	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tcell_dysfunction|IFNG|PDCD1|coexpression_network	tcell_dysfunction	tcell_dysfunction	IFNG	PDCD1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tnk_effector|IFNG|IFNG|coexpression_network	tcell_dysfunction	tnk_effector	IFNG	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tnk_effector|PDCD1|IFNG|coexpression_network	tcell_dysfunction	tnk_effector	PDCD1	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tumor_dedifferentiation|TRAJ1|TRAJ1|coexpression_network	tcell_dysfunction	tumor_dedifferentiation	TRAJ1	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tcell_dysfunction|tumor_dedifferentiation|PDCD1|TRAJ1|coexpression_network	tcell_dysfunction	tumor_dedifferentiation	PDCD1	TRAJ1	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|tnk_effector|CXCL10|IFNG|coexpression_network	tnk_effector	tnk_effector	CXCL10	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|tnk_effector|GNLY|IFNG|coexpression_network	tnk_effector	tnk_effector	GNLY	IFNG	coexpression_network
primary_recist	melanoma_recist_supported_primary	GSE145996	EcoNiche-Opt-WordFullGraph	word_full_graph	tnk_effector|tumor_dedifferentiation|IFNG|TRAJ1|coexpression_network	tnk_effector	tumor_dedifferentiation	IFNG	TRAJ1	coexpression_network
