accession	section	filename	url	remote_size	local_path	status	reason
GSE121810	suppl	GSE121810_Prins.PD1NeoAdjv.Jul2018.HUGO.PtID.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE121nnn/GSE121810/suppl/GSE121810_Prins.PD1NeoAdjv.Jul2018.HUGO.PtID.xlsx	5507354	data\raw\GSE121810\suppl\GSE121810_Prins.PD1NeoAdjv.Jul2018.HUGO.PtID.xlsx	already_exists	
GSE140901	matrix	GSE140901_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140901/matrix/GSE140901_series_matrix.txt.gz	3802	data\raw\GSE140901\matrix\GSE140901_series_matrix.txt.gz	already_exists	
GSE140901	suppl	GSE140901_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140901/suppl/GSE140901_RAW.tar	235520	data\raw\GSE140901\suppl\GSE140901_RAW.tar	already_exists	
GSE140901	suppl	GSE140901_processed_data.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140901/suppl/GSE140901_processed_data.txt.gz	63337	data\raw\GSE140901\suppl\GSE140901_processed_data.txt.gz	already_exists	
GSE140901	suppl	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE140nnn/GSE140901/suppl/filelist.txt	441	data\raw\GSE140901\suppl\filelist.txt	downloaded	
GSE165252	matrix	GSE165252_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165252/matrix/GSE165252_series_matrix.txt.gz	4890	data\raw\GSE165252\matrix\GSE165252_series_matrix.txt.gz	already_exists	
GSE165252	suppl	GSE165252_norm.cnt_PERFECT.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165252/suppl/GSE165252_norm.cnt_PERFECT.txt.gz	18782446	data\raw\GSE165252\suppl\GSE165252_norm.cnt_PERFECT.txt.gz	already_exists	
GSE165252	suppl	GSE165252_vst_PERFECT.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165252/suppl/GSE165252_vst_PERFECT.txt.gz	21250054	data\raw\GSE165252\suppl\GSE165252_vst_PERFECT.txt.gz	already_exists	
GSE183924	matrix	GSE183924_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183924/matrix/GSE183924_series_matrix.txt.gz	3164	data\raw\GSE183924\matrix\GSE183924_series_matrix.txt.gz	already_exists	
GSE183924	suppl	GSE183924_Clinical_Data_with_CIBERSORT_analysis_for_GEO.xlsx	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183924/suppl/GSE183924_Clinical_Data_with_CIBERSORT_analysis_for_GEO.xlsx	29622	data\raw\GSE183924\suppl\GSE183924_Clinical_Data_with_CIBERSORT_analysis_for_GEO.xlsx	already_exists	
GSE183924	suppl	GSE183924_FPKM.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183924/suppl/GSE183924_FPKM.txt.gz	6602021	data\raw\GSE183924\suppl\GSE183924_FPKM.txt.gz	already_exists	
GSE115978	matrix	GSE115978_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115978/matrix/GSE115978_series_matrix.txt.gz	172934	data\raw\GSE115978\matrix\GSE115978_series_matrix.txt.gz	already_exists	
GSE115978	suppl	GSE115978_cell.annotations.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115978/suppl/GSE115978_cell.annotations.csv.gz	101286	data\raw\GSE115978\suppl\GSE115978_cell.annotations.csv.gz	already_exists	
GSE115978	suppl	GSE115978_counts.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115978/suppl/GSE115978_counts.csv.gz	51508919	data\raw\GSE115978\suppl\GSE115978_counts.csv.gz	already_exists	
GSE115978	suppl	GSE115978_tpm.csv.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE115nnn/GSE115978/suppl/GSE115978_tpm.csv.gz	238431804	data\raw\GSE115978\suppl\GSE115978_tpm.csv.gz	already_exists	
GSE123139	matrix	GSE123139_series_matrix.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123139/matrix/GSE123139_series_matrix.txt.gz	12628	data\raw\GSE123139\matrix\GSE123139_series_matrix.txt.gz	already_exists	
GSE123139	suppl	GSE123139_RAW.tar	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123139/suppl/GSE123139_RAW.tar	153886720	data\raw\GSE123139\suppl\GSE123139_RAW.tar	already_exists	
GSE123139	suppl	GSE123139_T_cells_tcrb_v2.txt.gz	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123139/suppl/GSE123139_T_cells_tcrb_v2.txt.gz	615122	data\raw\GSE123139\suppl\GSE123139_T_cells_tcrb_v2.txt.gz	already_exists	
GSE123139	suppl	filelist.txt	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE123nnn/GSE123139/suppl/filelist.txt	2513	data\raw\GSE123139\suppl\filelist.txt	downloaded	
