AUROC	AUPRC	balanced_accuracy	MCC	F1	Brier	cohort	model_name	endpoint	n_samples	n_features
0.4729166666666667	0.4037279103811362	0.4916666666666667	-0.01642880193633814	0.45161290322580644	0.25053055064876334	GSE165252	ML_Logistic_L1	response_positive_primary_recist	32	225
0.7708333333333333	0.6293690553771198	0.5	0.0	0.0	0.2270398898660521	GSE165252	ML_RandomForest	response_positive_primary_recist	32	225
0.6708333333333333	0.5868157288458167	0.5	0.0	0.0	0.2259528449465446	GSE165252	ML_ExtraTrees	response_positive_primary_recist	32	225
0.825	0.6792568542568542	0.5	0.0	0.0	0.24243569374084473	GSE165252	ML_XGBoost	response_positive_primary_recist	32	225
0.8833333333333334	0.7108197358197358	0.475	-0.13912166872805048	0.0	0.21389783910544502	GSE165252	ML_LightGBM	response_positive_primary_recist	32	225
0.4444444444444444	0.4156671635515805	0.45833333333333337	-0.08492077756084468	0.35294117647058826	0.3100646725644416	GSE168204	ML_Logistic_L2	response_positive_primary_recist	21	225
0.3611111111111111	0.4056722689075631	0.4305555555555556	-0.17503501050350123	0.15384615384615385	0.2544001901084135	GSE168204	ML_Logistic_L1	response_positive_primary_recist	21	225
0.4722222222222222	0.42730700671877136	0.5	0.0	0.0	0.2594265761243237	GSE168204	ML_RandomForest	response_positive_primary_recist	21	225
0.6203703703703703	0.5266079599412933	0.5	0.0	0.0	0.23881753835589178	GSE168204	ML_ExtraTrees	response_positive_primary_recist	21	225
0.40740740740740744	0.482630186577555	0.5	0.0	0.0	0.2828172445297241	GSE168204	ML_XGBoost	response_positive_primary_recist	21	225
0.38888888888888884	0.4580270119743804	0.4305555555555556	-0.13762047064079508	0.4	0.2890554252252277	GSE168204	ML_LightGBM	response_positive_primary_recist	21	225
0.6397569444444445	0.2863165425729979	0.6180555555555556	0.18385094394819754	0.37037037037037035	0.2329142187843449	GSE176307	ML_Logistic_L2	response_positive_primary_recist	88	225
0.5	0.18181818181818182	0.5	0.0	0.3076923076923077	0.25	GSE176307	ML_Logistic_L1	response_positive_primary_recist	88	225
0.5928819444444444	0.2682508978939475	0.4930555555555556	-0.050539869571926896	0.0	0.17608173608870903	GSE176307	ML_RandomForest	response_positive_primary_recist	88	225
0.6076388888888888	0.2513110598099675	0.5277777777777778	0.07918851612219982	0.17391304347826086	0.19154609899826125	GSE176307	ML_ExtraTrees	response_positive_primary_recist	88	225
0.5954861111111112	0.27650691216596235	0.5173611111111112	0.07380124046167462	0.10526315789473684	0.17221595346927643	GSE176307	ML_XGBoost	response_positive_primary_recist	88	225
