endpoint	stratum	ablation_model	n_samples	full_AUROC	ablation_AUROC	delta_AUROC	full_AUPRC	ablation_AUPRC	full_ECE	ablation_ECE	bootstrap_mean_delta	ci_low	ci_high	p_value	fdr_q	claim_level
clinical_benefit	pan_cancer_response_all	EcoNiche-Opt-WordNoBioObjective	554	0.6261079249217936	0.6232924921793535	0.002815432742440116	0.6209513287743214	0.6202373251782738	0.22225205839356257	0.22670337969312448	0.0028875077955222814	-0.00030014561287533266	0.005866150040614939	0.074	0.252	point_estimate_component_gain
clinical_benefit	pan_cancer_response_all	EcoNiche-Opt-WordUnsignedGraph	554	0.6261079249217936	0.6126694473409802	0.013438477580813402	0.6209513287743214	0.6098297172836851	0.22225205839356257	0.2382065688231103	0.01354297091427746	0.0037767124427088186	0.024170048649489715	0.002	0.012000000000000002	FDR_supported_component_gain
clinical_benefit	pan_cancer_without_secondary	EcoNiche-Opt-WordUnsignedGraph	369	0.620603015075377	0.6417676618386048	-0.021164646763227823	0.5730558238742907	0.5850129171371471	0.22731375029601014	0.20163777074289552	-0.02129388795691014	-0.031471136147998464	-0.011172623927345164	0.0	0.0	component_not_supported
clinical_benefit	pan_cancer_without_secondary	EcoNiche-Opt-WordNoInteraction	369	0.620603015075377	0.6209872893881172	-0.0003842743127402404	0.5730558238742907	0.5736580590534275	0.22731375029601014	0.2271850599300861	-0.0003835298749813856	-0.0011459432453920365	0.00029426348776443454	0.306	0.612	component_not_supported
clinical_benefit	pan_cancer_without_secondary	EcoNiche-Opt-WordNoBioObjective	369	0.620603015075377	0.6186225243866389	0.001980490688738068	0.5730558238742907	0.572995542457687	0.22731375029601014	0.23191357670679869	0.0019313771197752027	-0.0012640516469595547	0.0054900298496278034	0.236	0.5625	point_estimate_component_gain
clinical_benefit	secondary_confounded_transfer	EcoNiche-Opt-WordNoBioObjective	185	0.6323599240265909	0.633309591642925	-0.0009496676163340823	0.6989994263728587	0.6999875635287324	0.22794633216575422	0.2192874835101758	-0.000987953671001544	-0.005648306595365457	0.004346707858650091	0.658	0.9499999999999998	component_not_supported
clinical_benefit	secondary_confounded_transfer	EcoNiche-Opt-WordNoInteraction	185	0.6323599240265909	0.6322412155745489	0.00011870845204198233	0.6989994263728587	0.6989954636048789	0.22794633216575422	0.22810418779222524	0.0001263855420872897	-0.0008650812658904216	0.0011871693121692838	0.884	0.9499999999999998	point_estimate_component_gain
clinical_benefit	secondary_confounded_transfer	EcoNiche-Opt-WordUnsignedGraph	185	0.6323599240265909	0.6308167141500476	0.0015432098765433278	0.6989994263728587	0.6974759896091668	0.22794633216575422	0.19742820955627005	0.0016031407104617492	-0.0031635587159599327	0.006561034886225397	0.52	0.9499999999999998	point_estimate_component_gain
primary_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordUnsignedGraph	160	0.6624423963133641	0.6654048716260699	-0.00296247531270577	0.5538828104573363	0.5689784217278577	0.23297091320734092	0.25901839467929655	-0.0034883518419304717	-0.03177021066491124	0.026358922243068558	0.79	0.8364705882352942	component_not_supported
primary_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoInteraction	160	0.6624423963133641	0.6627715602369981	-0.0003291639236340238	0.5538828104573363	0.554319065850044	0.23297091320734092	0.23278179099929552	-0.0003420674071112198	-0.002014126619799142	0.0009452927347831369	0.694	0.8328	component_not_supported
primary_recist	melanoma_anti_pd1_primary	EcoNiche-Opt-WordNoBioObjective	160	0.6624423963133641	0.6612903225806451	0.0011520737327189723	0.5538828104573363	0.5469044468429453	0.23297091320734092	0.2348618600382041	0.001005553882543069	-0.005766818170244201	0.007406101216716698	0.78	0.8364705882352942	point_estimate_component_gain
primary_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordNoBioObjective	29	0.4595959595959596	0.4797979797979798	-0.020202020202020166	0.3672777249332273	0.3756784151520994	0.3973810548081105	0.4242443874570534	-0.02047186622149033	-0.06666666666666671	0.0	0.352	0.8537142857142858	component_not_supported
primary_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordNoInteraction	29	0.4595959595959596	0.4595959595959596	0.0	0.3672777249332273	0.3672777249332273	0.3973810548081105	0.3977373728756629	4.440892098500626e-19	0.0	5.551115123125783e-17	1.0	1.0	component_not_supported
primary_recist	melanoma_binary_response_stress	EcoNiche-Opt-WordUnsignedGraph	29	0.4595959595959596	0.45454545454545453	0.005050505050505083	0.3672777249332273	0.36157274098450565	0.3973810548081105	0.4664979924315874	0.00498866246618131	-0.04444444444444445	0.05716356107660455	0.948	1.0	point_estimate_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordUnsignedGraph	117	0.7039597737272156	0.7331866750471401	-0.029226901319924448	0.5606355627233801	0.598397442273539	0.20106236981107356	0.19506229387753654	-0.028797605942702184	-0.05253625892277732	-0.006733261924211853	0.004	0.018000000000000002	component_not_supported
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordNoInteraction	117	0.7039597737272156	0.7036455059710873	0.0003142677561283058	0.5606355627233801	0.5602074345059871	0.20106236981107356	0.20274103591294856	0.00030725373191655856	-0.0012709683478914658	0.0023883719263762867	0.908	0.908	point_estimate_component_gain
primary_recist	melanoma_core_high_evidence	EcoNiche-Opt-WordNoBioObjective	117	0.7039597737272156	0.7023884349465744	0.001571338780641196	0.5606355627233801	0.5529300492697027	0.20106236981107356	0.1954966179113847	0.0015308339914482157	-0.005998078282158303	0.008642448244380393	0.664	0.747	point_estimate_component_gain
