endpoint	cohort	analysis_type	model_name	n_samples	n_responders	n_nonresponders	threshold_source	threshold_training_cohorts	threshold	calibration	training_AUROC	training_balanced_accuracy	platform	treatment	AUROC	AUPRC	balanced_accuracy	accuracy	MCC	F1	sensitivity	specificity	PPV	NPV	Brier	ECE	calibration_slope	calibration_intercept	AUROC_ci_low	AUROC_ci_high	AUROC_ci_bootstrap_n
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CXCL9	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.3940737883098779	discovery_only_platt	0.6601073345259392	0.651386404293381	NanoString_nCounter		0.9166666666666669	0.8734126984126983	0.8125	0.7857142857142857	0.6454972243679028	0.8	1.0	0.625	0.6666666666666666	1.0	0.175414934745372	0.2873240909237459	3.908450892699324	0.0575159919094396	0.7	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIG	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4271808949093462	discovery_only_platt	0.659660107334526	0.6261180679785331	NanoString_nCounter		0.9166666666666666	0.9107142857142856	0.8125	0.7857142857142857	0.6454972243679028	0.8	1.0	0.625	0.6666666666666666	1.0	0.1846319262727984	0.1770091119420994	5.87427372841337	0.1886877699253152	0.7333333333333334	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_dysfunction	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.439782201621358	discovery_only_platt	0.6493738819320214	0.6473613595706619	NanoString_nCounter		0.8541666666666667	0.8708333333333333	0.6666666666666667	0.6428571428571429	0.3442651863295481	0.6666666666666666	0.8333333333333334	0.5	0.5555555555555556	0.8	0.1825355395218135	0.2531791389556244	3.6335787150147305	-0.3158569317656562	0.6	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	APM	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4292792235031947	discovery_only_platt	0.6851520572450804	0.6473613595706619	NanoString_nCounter		0.9166666666666666	0.8734126984126983	0.75	0.7142857142857143	0.5477225575051661	0.75	1.0	0.5	0.6	1.0	0.1884938865496368	0.2675429408938479	7.793804331227742	-1.6302918109520157	0.708125	1.0	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	CYT	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4494075486128113	discovery_only_platt	0.6113595706618963	0.6088998211091234	NanoString_nCounter		0.6041666666666666	0.5427609427609428	0.5208333333333333	0.5	0.0430331482911935	0.5333333333333333	0.6666666666666666	0.375	0.4444444444444444	0.6	0.2360765524706176	0.102521309140123	1.4038100094219434	-0.1946038806633053	0.25	0.9166666666666666	1000
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	IPRES	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4807030426599034	discovery_only_platt	0.5514311270125223	0.5623881932021466	NanoString_nCounter		0.2916666666666666	0.3895895770895771	0.2708333333333333	0.2857142857142857	-0.4583333333333333	0.1666666666666666	0.1666666666666666	0.375	0.1666666666666666	0.375	0.2625398583114737	0.0636268220109346	-2.3863423290619616	-0.3870698976249477	0.0	0.6253826530612241	999
strict_recist	GSE140901	nanostring_hcc_clinical_assay_transfer	TIDE_exclusion	14	6	8	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4549820894943985	discovery_only_platt	0.5442754919499105	0.5749105545617174	NanoString_nCounter		0.2708333333333333	0.3507575757575757	0.5416666666666667	0.5	0.1005037815259212	0.5882352941176471	0.8333333333333334	0.25	0.4545454545454545	0.6666666666666666	0.2639588586794911	0.1746885131410873	-7.211223891227765	-0.7775831447527933	0.0	0.6	1000
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	EcoNiche-Opt-HeuristicEcology-LockedPanel	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4866388147907647	discovery_only_platt	0.6428994082840236	0.6423076923076922		Nivo;PEM;Pem	0.6222222222222222	0.817977392977393	0.5222222222222221	0.5	0.0430331482911935	0.5333333333333333	0.4444444444444444	0.6	0.6666666666666666	0.375	0.2325347752802961	0.1685588670170828	1.5756790046632296	0.6831127653263712	0.25	0.9230769230769231	996
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	IFNG	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.5435787909056865	discovery_only_platt	0.6038461538461539	0.5903846153846154		Nivo;PEM;Pem	0.4888888888888889	0.7301485551485551	0.5666666666666667	0.5	0.1414213562373095	0.4615384615384615	0.3333333333333333	0.8	0.75	0.4	0.2513423724662435	0.1423037267097906	0.4768266640130862	0.5888664800555671	0.12121212121212122	0.8333333333333334	999
clinical_benefit	GSE145996	locked_external_melanoma_pd1_recist	CXCL9	14	9	5	discovery_only	GSE91061,GSE78220,PRJEB23709_PD1_PRE	0.4461541291872711	discovery_only_platt	0.6091715976331361	0.6000000000000001		Nivo;PEM;Pem	0.5111111111111111	0.7271783771783773	0.4888888888888889	0.5714285714285714	-0.0259499648053841	0.7	0.7777777777777778	0.2	0.6363636363636364	0.3333333333333333	0.2522712269614232	0.1975937018882839	0.3995871533490363	0.5878593099626814	0.2	0.84625	1000
